replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	18.18       	0.008019    	0.009342    	0.005775    
1           	10          	17.45       	0.01198     	0.01655     	0.01179     
1           	15          	16.33       	0.01814     	0.02805     	0.01939     
1           	20          	15.72       	0.02127     	0.04005     	0.02319     
1           	25          	15.17       	0.02421     	0.04323     	0.0272      
1           	30          	15.13       	0.02113     	0.04083     	0.02126     
1           	35          	14.3        	0.02449     	0.04085     	0.02412     
1           	40          	14.33       	0.02281     	0.03963     	0.01882     
1           	45          	13.82       	0.02531     	0.04185     	0.01869     
1           	50          	13.5        	0.03053     	0.04753     	0.02117     
1           	55          	12.87       	0.02333     	0.05523     	0.02793     
1           	60          	12.55       	0.02899     	0.05263     	0.02683     
1           	65          	12.63       	0.02533     	0.05656     	0.02507     
1           	70          	12.3        	0.03152     	0.05543     	0.01825     
1           	75          	12.03       	0.02143     	0.05687     	0.02456     
1           	80          	11.62       	0.03273     	0.05333     	0.02528     
1           	85          	11.23       	0.02832     	0.05947     	0.03268     
1           	90          	11.17       	0.03334     	0.06069     	0.03484     
1           	95          	10.93       	0.03104     	0.05391     	0.03593     
1           	100         	10.6        	0.04076     	0.05985     	0.04548     
1           	105         	10.3        	0.0342      	0.06105     	0.0422      
1           	110         	10.38       	0.03848     	0.05586     	0.03581     
1           	115         	10.48       	0.0237      	0.04831     	0.02297     
1           	120         	10.12       	0.01979     	0.05621     	0.03777     
1           	125         	10.02       	0.02521     	0.05874     	0.02465     
1           	130         	9.7         	0.02822     	0.06294     	0.02857     
1           	135         	9.533       	0.02987     	0.08595     	0.04269     
1           	140         	9.533       	0.02904     	0.06054     	0.03038     
1           	145         	9.417       	0.02088     	0.072       	0.03926     
1           	150         	8.9         	0.02975     	0.06004     	0.03216     
1           	155         	8.85        	0.02387     	0.0539      	0.02339     
1           	160         	8.85        	0.02063     	0.0505      	0.02533     
1           	165         	9.017       	0.03387     	0.04586     	0.01199     
1           	170         	8.817       	0.0238      	0.04565     	0.0268      
1           	175         	8.617       	0.01896     	0.04064     	0.02633     
1           	180         	8.467       	0.0315      	0.05304     	0.02355     
1           	185         	8.45        	0.01641     	0.04187     	0.02712     
1           	190         	8.317       	0.02847     	0.04266     	0.02942     
1           	195         	8.067       	0.03396     	0.06317     	0.0332      
1           	200         	7.967       	0.03528     	0.05511     	0.03594     
1           	205         	8.017       	0.03028     	0.05487     	0.02937     
1           	210         	7.833       	0.04282     	0.04365     	0.0282      
1           	215         	7.617       	0.02834     	0.04869     	0.02904     
1           	220         	7.55        	0.01924     	0.03754     	0.01335     
1           	225         	7.233       	0.02513     	0.04419     	0.03086     
1           	230         	7.233       	0.02525     	0.05136     	0.02106     
1           	235         	7.117       	0.01372     	0.03428     	0.02655     
1           	240         	7.15        	0.01734     	0.04445     	0.0263      
1           	245         	7           	0.02218     	0.04311     	0.03566     
1           	250         	7.033       	0.02448     	0.04307     	0.03056     
1           	255         	6.933       	0.02769     	0.0416      	0.03146     
1           	260         	7.017       	0.02524     	0.03737     	0.03049     
1           	265         	6.75        	0.02665     	0.05287     	0.04371     
1           	270         	6.783       	0.01361     	0.04389     	0.0302      
1           	275         	6.8         	0.01566     	0.04859     	0.04104     
1           	280         	6.533       	0.02834     	0.07041     	0.05431     
1           	285         	6.333       	0.02375     	0.05079     	0.02503     
1           	290         	6.433       	0.01788     	0.04874     	0.03519     
1           	295         	6.45        	0.02432     	0.06022     	0.04245     
1           	300         	6.383       	0.03383     	0.0535      	0.02352     
1           	305         	6.567       	0.02573     	0.04751     	0.04017     
1           	310         	6.167       	0.03326     	0.05694     	0.01956     
1           	315         	6.167       	0.02996     	0.05423     	0.0251      
1           	320         	6.317       	0.03082     	0.0603      	0.03209     
1           	325         	6.25        	0.03926     	0.06391     	0.02061     
1           	330         	6.283       	0.03103     	0.05362     	0.01976     
1           	335         	6.4         	0.04105     	0.05668     	0.02951     
1           	340         	6.05        	0.05244     	0.05898     	0.01486     
1           	345         	6.317       	0.04763     	0.06958     	0.01428     
1           	350         	6.05        	0.03717     	0.05609     	0.03224     
1           	355         	5.95        	0.03523     	0.04866     	0.0137      
1           	360         	6.083       	0.03489     	0.05732     	0.02486     
