generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.02143     	1.929e-06   	1.684e-06   	2.826e-06   
10          	10          	0.02704     	6.062e-06   	8.738e-06   	8.633e-06   
15          	10          	0.01923     	1.964e-05   	8.186e-06   	1.79e-05    
20          	10          	0.02273     	5.696e-06   	1.865e-05   	5.967e-06   
25          	10          	0.06006     	5.368e-06   	1.512e-05   	1.838e-05   
30          	10          	0.03117     	2.52e-05    	2.49e-05    	1.506e-05   
35          	10          	0.04922     	1.581e-05   	1.632e-05   	1.661e-05   
40          	10          	0.04774     	1.052e-05   	1.741e-05   	2.677e-05   
45          	10          	0.08138     	4.89e-05    	0.0001079   	3.736e-05   
50          	10          	0.04239     	2.204e-05   	4.257e-05   	3.139e-05   
55          	10          	0.0996      	2.33e-05    	9.269e-05   	4.432e-05   
60          	10          	0.04218     	4.34e-05    	4.866e-05   	2.844e-05   
65          	10          	0.09141     	1.984e-05   	7.75e-05    	1.273e-05   
70          	10          	0.06972     	5.184e-05   	6.16e-05    	4.394e-05   
75          	10          	0.07747     	3.975e-05   	7.774e-06   	2.388e-05   
80          	10          	0.1545      	2.278e-05   	2.885e-05   	5.874e-06   
85          	10          	0.1207      	3.648e-05   	0.0001002   	1.995e-05   
90          	10          	0.1024      	3.388e-05   	0.0001822   	2.936e-05   
95          	10          	0.1358      	2.509e-05   	9.729e-05   	4.255e-05   
100         	10          	0.1624      	6.084e-05   	5.183e-05   	0.0001025   
105         	10          	0.2059      	3.202e-05   	2.103e-05   	4.159e-05   
110         	10          	0.106       	3.175e-05   	8.397e-05   	1.676e-05   
115         	10          	0.1151      	2.316e-05   	6.962e-05   	3.845e-05   
120         	10          	0.1268      	2.918e-05   	3.326e-05   	3.219e-05   
125         	10          	0.1464      	3.176e-05   	3.281e-05   	2.986e-05   
130         	10          	0.18        	4.491e-05   	9.154e-05   	3.224e-05   
135         	10          	0.1854      	6.234e-05   	0.0002179   	5.354e-05   
140         	10          	0.2668      	1.712e-05   	7.775e-05   	2.549e-05   
145         	10          	0.1381      	9.364e-05   	0.0001237   	5.753e-05   
150         	10          	0.1154      	4.509e-05   	0.0001133   	2.933e-05   
155         	10          	0.139       	6.825e-05   	0.0002238   	1.93e-05    
160         	10          	0.08828     	8.496e-05   	0.0001288   	2.191e-05   
165         	10          	0.1239      	4.992e-05   	0.0001655   	6.865e-05   
170         	10          	0.0771      	9.996e-06   	8.627e-05   	3.697e-05   
175         	10          	0.06304     	5.491e-05   	0.0001905   	5.688e-05   
180         	10          	0.09569     	2.171e-05   	9.143e-05   	5.889e-05   
185         	10          	0.09229     	5.719e-05   	0.0001035   	5.041e-05   
190         	10          	0.1016      	3.815e-05   	7.207e-05   	5.132e-05   
195         	10          	0.1367      	2.794e-05   	0.0001403   	5.497e-05   
200         	10          	0.1964      	4.697e-05   	8.207e-05   	4.863e-05   
205         	10          	0.1124      	5.271e-05   	9.94e-05    	3.252e-05   
210         	10          	0.1552      	4.071e-05   	0.0001057   	2.235e-05   
215         	10          	0.1139      	8.192e-05   	6.69e-05    	6.72e-05    
220         	10          	0.1045      	4.032e-05   	0.000154    	4.938e-05   
225         	10          	0.1718      	5.106e-05   	8.354e-05   	1.843e-05   
230         	10          	0.2065      	7.268e-05   	0.0001385   	0.0001235   
235         	10          	0.1835      	6.654e-05   	0.0001518   	6.297e-05   
240         	10          	0.1766      	9.038e-05   	0.000102    	3.614e-05   
245         	10          	0.2089      	7.186e-05   	0.0001735   	2.359e-05   
250         	10          	0.1419      	2.44e-05    	8.123e-05   	2.638e-05   
255         	10          	0.1301      	1.609e-05   	6.454e-05   	2.825e-05   
260         	10          	0.1582      	2.819e-05   	6.699e-05   	6.021e-05   
265         	10          	0.1379      	3.168e-05   	0.0001236   	7.823e-05   
270         	10          	0.1528      	4.369e-05   	7.508e-05   	5.465e-05   
275         	10          	0.1604      	2.858e-05   	4.671e-05   	5.017e-05   
280         	10          	0.1408      	6.727e-05   	0.0001999   	0.000121    
285         	10          	0.1366      	2.591e-05   	8.38e-05    	1.353e-05   
290         	10          	0.1122      	9.218e-05   	0.0001954   	6.151e-05   
295         	10          	0.07768     	6.921e-05   	0.0001078   	3.077e-05   
300         	10          	0.09443     	3.564e-05   	0.0001244   	8.267e-05   
305         	10          	0.0895      	3.735e-05   	0.0001715   	6.814e-05   
310         	10          	0.09483     	6.1e-05     	0.0001675   	3.528e-05   
315         	10          	0.1172      	3.766e-05   	0.0003033   	7.975e-05   
320         	10          	0.08216     	6.051e-05   	0.0001791   	6.174e-05   
325         	10          	0.08751     	2.69e-05    	6.765e-05   	6.795e-05   
330         	10          	0.1053      	5.68e-05    	0.0001061   	6.352e-05   
335         	10          	0.1054      	9.427e-05   	5.106e-05   	4.26e-05    
340         	10          	0.08266     	0.0001127   	4.943e-05   	5.851e-05   
345         	10          	0.09636     	5.931e-05   	6.765e-05   	6.626e-05   
350         	10          	0.0968      	5.913e-05   	6.413e-05   	3.862e-05   
355         	10          	0.1072      	8.313e-05   	7.346e-05   	0.0001026   
360         	10          	0.04873     	4.981e-05   	2.947e-05   	1.357e-05   
365         	10          	0.05267     	4.05e-05    	0.0001293   	2.746e-05   
370         	10          	0.05246     	6.662e-05   	9.231e-05   	3.163e-05   
375         	10          	0.03616     	1.834e-05   	5.521e-05   	5.342e-05   
380         	10          	0.04071     	4.546e-05   	7.501e-05   	6.47e-05    
385         	10          	0.05768     	8.762e-05   	8.558e-05   	0.000101    
390         	10          	0.05634     	6.485e-05   	0.0001163   	9.694e-05   
395         	10          	0.03979     	7.218e-05   	0.0002215   	7.782e-05   
400         	10          	0.05922     	0.0001236   	0.0001828   	5.772e-05   
405         	10          	0.06943     	7.224e-05   	0.0001596   	7.675e-05   
410         	10          	0.06071     	6.416e-05   	0.0001105   	4.539e-05   
415         	10          	0.03968     	0.0001236   	7.475e-05   	6.899e-05   
420         	10          	0.0349      	5.689e-05   	4.714e-05   	9.915e-05   
425         	10          	0.04506     	6.388e-05   	0.0001816   	7.329e-05   
430         	10          	0.03847     	9.575e-05   	0.000167    	1.983e-05   
435         	10          	0.03332     	0.0001352   	0.0005674   	0.0001112   
440         	10          	0.04629     	0.0001433   	0.0003427   	6.453e-05   
445         	10          	0.06069     	7.702e-05   	0.0001448   	4.671e-05   
450         	10          	0.06523     	4.87e-05    	0.0002007   	5.754e-05   
455         	10          	0.07393     	4.899e-05   	0.0001262   	3.995e-05   
460         	10          	0.08228     	6.285e-05   	7.312e-05   	4.84e-05    
465         	10          	0.0455      	2.843e-05   	0.0001051   	3.177e-05   
470         	10          	0.05679     	5.615e-05   	0.0001887   	7.308e-05   
475         	10          	0.06173     	5.914e-05   	0.000127    	5.32e-05    
480         	10          	0.09773     	2.14e-05    	0.0002627   	7.642e-05   
485         	10          	0.07429     	4.757e-05   	0.0002153   	7.255e-05   
490         	10          	0.06307     	8.749e-05   	0.0003604   	0.0001012   
495         	10          	0.046       	7.594e-05   	0.0003325   	1.716e-05   
500         	10          	0.0333      	6.819e-05   	0.0001015   	4.509e-05   
505         	10          	0.01561     	7.246e-05   	0.0002345   	5.434e-05   
510         	10          	0.01874     	1.827e-05   	7.487e-05   	6.18e-05    
515         	10          	0.01946     	6.232e-05   	0.0001707   	3.085e-05   
520         	10          	0.03401     	9.299e-05   	0.0002284   	0.0001066   
525         	10          	0.0364      	4.017e-05   	0.0002321   	8.001e-05   
530         	10          	0.03189     	4.292e-05   	0.0001905   	4.29e-05    
535         	10          	0.01658     	5.319e-05   	0.000205    	6.26e-05    
540         	10          	0.011       	7.649e-05   	0.0001453   	7.638e-05   
545         	10          	0.01429     	9.754e-05   	0.0001605   	5.662e-05   
550         	10          	0.03864     	3.923e-05   	0.0001391   	4.58e-05    
555         	10          	0.02073     	9.652e-05   	0.0001091   	8.456e-05   
560         	10          	0.02801     	9.484e-05   	0.0001936   	0.0001763   
565         	10          	0.03228     	5.178e-05   	0.0001627   	8.92e-05    
570         	10          	0.0296      	9.878e-05   	0.0001961   	7.888e-05   
575         	10          	0.03234     	9.744e-05   	0.0001834   	5.353e-05   
580         	10          	0.03274     	5.548e-05   	0.0001485   	2.206e-05   
585         	10          	0.05317     	5.391e-05   	8.602e-05   	7.589e-05   
590         	10          	0.04569     	9.182e-05   	0.0001382   	7.006e-05   
595         	10          	0.05696     	4.891e-05   	0.0001907   	0.0001674   
600         	10          	0.03117     	6.534e-05   	0.0002027   	2.466e-05   
605         	10          	0.0514      	3.088e-05   	0.0001267   	4.914e-05   
610         	10          	0.04803     	7.593e-05   	0.0002169   	0.0001834   
615         	10          	0.05562     	7.197e-05   	0.0002262   	9.671e-05   
620         	10          	0.04667     	8.902e-05   	0.0001531   	0.0001123   
625         	10          	0.06164     	6.714e-05   	0.0002227   	0.0001467   
630         	10          	0.04525     	0.0001263   	0.0002507   	5.676e-05   
635         	10          	0.03654     	9.305e-05   	0.0001947   	5.933e-05   
640         	10          	0.03728     	5.329e-05   	0.0001552   	8.888e-05   
645         	10          	0.03128     	3.986e-05   	3.246e-05   	5.9e-05     
650         	10          	0.04128     	4.836e-05   	0.0002326   	0.0001081   
655         	10          	0.02841     	6.394e-05   	0.0001321   	0.0001047   
660         	10          	0.03862     	5.242e-05   	0.0001475   	5.845e-05   
665         	10          	0.06211     	9.726e-05   	0.0001298   	8.64e-05    
670         	10          	0.05689     	5.289e-05   	0.0001406   	8.381e-05   
675         	10          	0.05646     	0.0001081   	0.0002248   	4.427e-05   
680         	10          	0.05869     	5.109e-05   	0.000401    	8.637e-05   
685         	10          	0.09428     	3.808e-05   	0.0001738   	6.361e-05   
690         	10          	0.06211     	9.149e-05   	0.0002189   	0.0001333   
695         	10          	0.05036     	6.616e-05   	0.0001546   	0.0001225   
700         	10          	0.05884     	4.734e-05   	0.0001043   	9.709e-05   
705         	10          	0.047       	0.0002386   	0.0001422   	6.666e-05   
710         	10          	0.0665      	3.043e-05   	0.0001045   	5.45e-05    
715         	10          	0.08996     	5.042e-05   	4.067e-05   	6.093e-05   
720         	10          	0.09011     	0.0001081   	6.597e-05   	3.347e-05   
725         	10          	0.1084      	4.471e-05   	0.0001723   	8.627e-05   
730         	10          	0.1159      	8.657e-05   	0.0001185   	6.188e-05   
735         	10          	0.1027      	6.527e-05   	0.0001557   	4.123e-05   
740         	10          	0.1037      	0.0001189   	0.0001673   	6.967e-05   
745         	10          	0.07717     	6.756e-05   	0.0001111   	0.0001759   
750         	10          	0.1173      	2.164e-05   	7.78e-05    	7.286e-05   
755         	10          	0.09917     	8.364e-05   	0.0002372   	5.399e-05   
760         	10          	0.1211      	8.081e-05   	0.0001431   	7.09e-05    
765         	10          	0.06746     	7.277e-05   	0.0001434   	0.0001188   
770         	10          	0.05884     	7.473e-05   	0.0001232   	4.685e-05   
775         	10          	0.04773     	9.273e-05   	0.000184    	4.387e-05   
780         	10          	0.05899     	3.028e-05   	6.897e-05   	4.124e-05   
785         	10          	0.05595     	8.093e-05   	0.0002908   	4.404e-05   
790         	10          	0.06982     	0.0001237   	0.0001019   	0.0001386   
795         	10          	0.06675     	0.0002048   	0.0001395   	5.843e-05   
800         	10          	0.07571     	4.627e-05   	0.0001572   	0.0001475   
805         	10          	0.06118     	4.55e-05    	0.0001688   	0.000119    
810         	10          	0.04646     	0.0001202   	0.0001437   	2.399e-05   
815         	10          	0.04216     	7.996e-05   	0.0002562   	0.0001044   
820         	10          	0.05714     	3.156e-05   	0.0001849   	0.0001215   
825         	10          	0.04386     	2.666e-05   	0.0003559   	0.0002507   
830         	10          	0.04443     	4.431e-05   	0.0001598   	7.247e-05   
835         	10          	0.04511     	0.0001078   	0.0002252   	0.0001631   
840         	10          	0.03496     	8.612e-05   	0.0001497   	0.0001345   
845         	10          	0.04571     	0.000122    	0.0002772   	5.086e-05   
850         	10          	0.05154     	7.612e-05   	0.0001231   	7.637e-05   
855         	10          	0.06206     	0.0001228   	0.0002632   	6.219e-05   
860         	10          	0.0573      	6.706e-05   	0.00013     	5.239e-05   
865         	10          	0.06873     	7.516e-05   	0.0001309   	5.98e-05    
870         	10          	0.04873     	0.0001097   	0.0002387   	6.701e-05   
875         	10          	0.04877     	2.258e-05   	0.0003489   	7.464e-05   
880         	10          	0.03954     	5.535e-05   	0.0003538   	0.0002293   
885         	10          	0.04922     	0.0001382   	0.0004191   	0.0001281   
890         	10          	0.07662     	0.0001282   	0.0004134   	7.197e-05   
895         	10          	0.05972     	4.888e-05   	0.000105    	6.341e-05   
900         	10          	0.05662     	5.449e-05   	0.0001      	3.852e-05   
905         	10          	0.05932     	3.025e-05   	0.000211    	0.0001524   
910         	10          	0.04608     	8.079e-05   	0.0001535   	0.0001086   
915         	10          	0.05573     	5.583e-05   	0.0002095   	8.066e-05   
920         	10          	0.05475     	0.0001734   	0.0002377   	4.92e-05    
925         	10          	0.07106     	9.522e-05   	8.722e-05   	6.73e-05    
930         	10          	0.06114     	2.511e-05   	4.59e-05    	4.365e-05   
935         	10          	0.04327     	8.571e-05   	0.0003304   	0.000113    
940         	10          	0.05757     	0.0001238   	0.0001428   	5.784e-05   
945         	10          	0.02545     	8.338e-05   	0.0001696   	8.082e-05   
950         	10          	0.07078     	4.54e-05    	0.0001858   	0.000222    
955         	10          	0.07273     	0.0001177   	0.000155    	6.541e-05   
960         	10          	0.06308     	0.0002394   	9.405e-05   	7.347e-05   
965         	10          	0.08839     	9.617e-05   	0.0002361   	9.132e-05   
970         	10          	0.04719     	0.000193    	0.0004027   	0.0001156   
975         	10          	0.06311     	0.0003248   	0.0001319   	5.019e-05   
980         	10          	0.04636     	7.661e-05   	0.000158    	7.436e-05   
