generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	18.85       	0.002301    	0.003362    	0.002027    
8           	10          	18.65       	0.003433    	0.005152    	0.002512    
12          	10          	18.45       	0.003826    	0.005916    	0.003061    
16          	10          	18.3        	0.003856    	0.00687     	0.003517    
20          	10          	18.15       	0.004246    	0.007558    	0.003576    
24          	10          	17.99       	0.00508     	0.00845     	0.004691    
28          	10          	17.86       	0.003575    	0.008291    	0.004061    
32          	10          	17.66       	0.005037    	0.009212    	0.003955    
36          	10          	17.58       	0.004588    	0.00912     	0.004622    
40          	10          	17.46       	0.004687    	0.009477    	0.004447    
44          	10          	17.36       	0.00408     	0.008895    	0.003398    
48          	10          	17.22       	0.005037    	0.008588    	0.004       
52          	10          	17.15       	0.003545    	0.007891    	0.003168    
56          	10          	17.08       	0.004248    	0.009504    	0.003912    
60          	10          	16.76       	0.004719    	0.00832     	0.005388    
64          	10          	16.74       	0.003882    	0.007761    	0.00327     
68          	10          	16.53       	0.005198    	0.009004    	0.004419    
72          	10          	16.36       	0.005245    	0.009733    	0.004262    
76          	10          	16.31       	0.004749    	0.01007     	0.005052    
80          	10          	16.17       	0.0041      	0.007072    	0.003484    
84          	10          	15.99       	0.004665    	0.009564    	0.004003    
88          	10          	15.97       	0.004274    	0.008462    	0.004864    
92          	10          	15.78       	0.004386    	0.008506    	0.004351    
96          	10          	15.74       	0.003781    	0.007529    	0.003372    
100         	10          	15.44       	0.005272    	0.009694    	0.004681    
104         	10          	15.42       	0.005242    	0.009723    	0.004194    
108         	10          	15.32       	0.003859    	0.00921     	0.003724    
112         	10          	15.23       	0.003593    	0.008218    	0.003925    
116         	10          	15.05       	0.00439     	0.009594    	0.004153    
120         	10          	14.96       	0.003575    	0.008427    	0.004109    
124         	10          	14.94       	0.004804    	0.008394    	0.004952    
128         	10          	14.67       	0.005595    	0.0101      	0.003624    
132         	10          	14.72       	0.004229    	0.009767    	0.004908    
136         	10          	14.55       	0.004001    	0.008561    	0.003658    
140         	10          	14.39       	0.004741    	0.01003     	0.004234    
144         	10          	14.37       	0.005409    	0.01101     	0.00444     
148         	10          	14.26       	0.004244    	0.00974     	0.004628    
152         	10          	14.1        	0.005206    	0.009848    	0.004905    
156         	10          	14.12       	0.004281    	0.008708    	0.003941    
160         	10          	13.92       	0.00428     	0.00928     	0.005979    
164         	10          	13.85       	0.0036      	0.009568    	0.00463     
168         	10          	13.73       	0.00425     	0.01044     	0.004269    
172         	10          	13.75       	0.003371    	0.008919    	0.00448     
176         	10          	13.69       	0.005086    	0.009562    	0.004775    
180         	10          	13.6        	0.004177    	0.009232    	0.004507    
184         	10          	13.45       	0.004227    	0.008793    	0.003397    
188         	10          	13.39       	0.004941    	0.009948    	0.004187    
192         	10          	13.31       	0.003776    	0.009256    	0.00348     
196         	10          	13.35       	0.004805    	0.008654    	0.003768    
200         	10          	13.28       	0.004058    	0.008299    	0.003507    
204         	10          	13.14       	0.005179    	0.008688    	0.0048      
208         	10          	13.09       	0.003394    	0.009641    	0.004803    
212         	10          	13.06       	0.003831    	0.008832    	0.003837    
216         	10          	12.94       	0.003574    	0.009182    	0.003495    
220         	10          	12.78       	0.004693    	0.00996     	0.004849    
224         	10          	12.76       	0.002867    	0.009162    	0.004481    
228         	10          	12.76       	0.00427     	0.009187    	0.004088    
232         	10          	12.73       	0.004146    	0.009279    	0.003411    
236         	10          	12.64       	0.005395    	0.01147     	0.005501    
240         	10          	12.45       	0.004345    	0.0112      	0.003827    
244         	10          	12.48       	0.004611    	0.009389    	0.004201    
248         	10          	12.38       	0.003646    	0.008916    	0.002742    
252         	10          	12.26       	0.003792    	0.008413    	0.003734    
256         	10          	12.22       	0.004284    	0.009715    	0.004287    
260         	10          	12.19       	0.004235    	0.01065     	0.004925    
264         	10          	11.98       	0.004112    	0.01046     	0.003976    
268         	10          	12.05       	0.003539    	0.00871     	0.00478     
272         	10          	11.95       	0.005481    	0.008612    	0.004956    
276         	10          	11.98       	0.004519    	0.009537    	0.004167    
280         	10          	11.82       	0.005456    	0.01051     	0.003869    
284         	10          	11.84       	0.003038    	0.007649    	0.003708    
288         	10          	11.81       	0.005008    	0.009457    	0.004841    
292         	10          	11.67       	0.00292     	0.008347    	0.003655    
296         	10          	11.55       	0.004148    	0.0103      	0.003869    
300         	10          	11.52       	0.004034    	0.009658    	0.003062    
304         	10          	11.58       	0.00372     	0.008632    	0.00444     
308         	10          	11.5        	0.006188    	0.01003     	0.005101    
312         	10          	11.56       	0.004318    	0.00769     	0.003465    
316         	10          	11.46       	0.00387     	0.009517    	0.004595    
320         	10          	11.3        	0.004985    	0.009713    	0.003107    
324         	10          	11.31       	0.003996    	0.009972    	0.00312     
328         	10          	11.35       	0.004237    	0.009492    	0.00295     
332         	10          	11.22       	0.004007    	0.009537    	0.005496    
336         	10          	11.27       	0.002995    	0.007687    	0.005244    
340         	10          	11.16       	0.005062    	0.01015     	0.003469    
344         	10          	11.21       	0.00405     	0.009774    	0.003352    
348         	10          	10.95       	0.005665    	0.01046     	0.005633    
352         	10          	11.06       	0.003696    	0.00834     	0.004606    
356         	10          	11.03       	0.002478    	0.008359    	0.003233    
360         	10          	10.98       	0.003993    	0.0103      	0.003502    
364         	10          	11.02       	0.003207    	0.009915    	0.003643    
368         	10          	10.98       	0.004639    	0.01055     	0.004078    
372         	10          	10.87       	0.003789    	0.009951    	0.004187    
376         	10          	10.81       	0.004505    	0.009294    	0.003391    
380         	10          	10.76       	0.006301    	0.01028     	0.005438    
384         	10          	10.77       	0.003192    	0.01078     	0.00488     
388         	10          	10.67       	0.004481    	0.01122     	0.005002    
392         	10          	10.64       	0.005914    	0.01017     	0.002521    
396         	10          	10.64       	0.004902    	0.008969    	0.002601    
400         	10          	10.62       	0.004243    	0.009428    	0.004088    
404         	10          	10.51       	0.003074    	0.007722    	0.003997    
408         	10          	10.58       	0.004405    	0.007095    	0.003013    
412         	10          	10.4        	0.003661    	0.01006     	0.005209    
416         	10          	10.49       	0.003926    	0.008768    	0.004338    
420         	10          	10.39       	0.003019    	0.008297    	0.003208    
424         	10          	10.41       	0.005159    	0.007892    	0.002481    
428         	10          	10.24       	0.003738    	0.009605    	0.004401    
432         	10          	10.21       	0.005081    	0.009575    	0.004297    
436         	10          	10.29       	0.003906    	0.009568    	0.003792    
440         	10          	10.18       	0.003996    	0.01011     	0.005037    
444         	10          	10.14       	0.004327    	0.008568    	0.005125    
448         	10          	10.15       	0.005465    	0.007852    	0.005032    
452         	10          	10.14       	0.003422    	0.00841     	0.004289    
456         	10          	10.09       	0.005191    	0.008949    	0.004299    
460         	10          	10.04       	0.003767    	0.01006     	0.003573    
464         	10          	10.07       	0.003231    	0.00748     	0.003215    
468         	10          	9.96        	0.004291    	0.007038    	0.00374     
472         	10          	10          	0.003338    	0.007561    	0.003199    
476         	10          	9.927       	0.003509    	0.008375    	0.003555    
480         	10          	9.915       	0.004584    	0.01039     	0.004126    
484         	10          	9.845       	0.004271    	0.008276    	0.005005    
488         	10          	9.858       	0.004451    	0.009157    	0.003648    
492         	10          	9.773       	0.005489    	0.007115    	0.003646    
496         	10          	9.803       	0.004438    	0.01037     	0.005048    
500         	10          	9.73        	0.003894    	0.008982    	0.004811    
504         	10          	9.772       	0.004516    	0.01067     	0.00398     
508         	10          	9.713       	0.003905    	0.009277    	0.004188    
512         	10          	9.677       	0.003438    	0.008395    	0.003972    
516         	10          	9.657       	0.004583    	0.009303    	0.003894    
520         	10          	9.577       	0.004718    	0.009931    	0.00378     
524         	10          	9.552       	0.004396    	0.009179    	0.004377    
528         	10          	9.6         	0.00421     	0.009818    	0.003125    
532         	10          	9.57        	0.005526    	0.008706    	0.005167    
536         	10          	9.573       	0.005019    	0.009814    	0.003491    
540         	10          	9.555       	0.005866    	0.009483    	0.00342     
544         	10          	9.49        	0.003711    	0.009166    	0.004796    
548         	10          	9.495       	0.004605    	0.008109    	0.004542    
552         	10          	9.422       	0.003576    	0.007961    	0.003982    
556         	10          	9.45        	0.003958    	0.008646    	0.004313    
