replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	4           	18.73       	0.002505    	0.002454    	0.001037    
1           	8           	18.55       	0.004275    	0.005794    	0.002301    
1           	12          	18.48       	0.006875    	0.00701     	0.001271    
1           	16          	18.3        	0.0009191   	0.006884    	0.002617    
1           	20          	17.85       	0.004461    	0.01223     	0.006522    
1           	24          	17.95       	0.006783    	0.007125    	0.002523    
1           	28          	17.65       	0.003844    	0.01023     	0.0009813   
1           	32          	17.48       	0.002359    	0.008462    	0.004222    
1           	36          	17.07       	0.006575    	0.009518    	0.00408     
1           	40          	16.97       	0.005309    	0.01056     	0.003219    
1           	44          	16.9        	0.004362    	0.01203     	0.003953    
1           	48          	16.77       	0.003497    	0.008068    	0.005105    
1           	52          	17.18       	0.005685    	0.004478    	0.002586    
1           	56          	17.25       	0.004328    	0.007124    	0.0003263   
1           	60          	16.75       	0.005773    	0.006308    	0.002816    
1           	64          	16.85       	0.002324    	0.004871    	0.003901    
1           	68          	16.62       	0.002006    	0.009272    	0.004906    
1           	72          	16.55       	0.004925    	0.008029    	0.003211    
1           	76          	16.22       	0.003983    	0.009109    	0.00412     
1           	80          	16.18       	0.0008178   	0.00649     	0.0004808   
1           	84          	16.15       	0.002514    	0.006322    	0.002005    
1           	88          	16.12       	0.005927    	0.007777    	0.00203     
1           	92          	15.57       	0.003607    	0.008404    	0.004072    
1           	96          	15.73       	0.004806    	0.008067    	0.0009374   
1           	100         	15.57       	0.004486    	0.01046     	0.00524     
1           	104         	15.58       	0.006958    	0.0123      	0.00404     
1           	108         	15.65       	0.0007182   	0.01237     	0.005252    
1           	112         	15.53       	-0.0003149  	0.005057    	0.0002097   
1           	116         	15.23       	0.005769    	0.008941    	0.005238    
1           	120         	15.42       	0.002827    	0.005804    	0.001659    
1           	124         	15.6        	0.005907    	0.007331    	0.003644    
1           	128         	14.82       	0.005466    	0.009142    	0.00338     
1           	132         	14.87       	0.004243    	0.01173     	0.005548    
1           	136         	15          	0.004521    	0.006086    	0.002484    
1           	140         	14.48       	0.004644    	0.007672    	0.004088    
1           	144         	14.67       	0.003765    	0.01361     	0.00454     
1           	148         	14.85       	0.003328    	0.00549     	0.003276    
1           	152         	14.3        	0.009228    	0.01222     	0.004474    
1           	156         	14.62       	0.001089    	0.005724    	0.002619    
1           	160         	14.22       	0.005424    	0.01102     	0.006163    
1           	164         	14.1        	0.004993    	0.008326    	0.003734    
1           	168         	13.77       	0.00466     	0.01358     	0.006919    
1           	172         	13.92       	0.00624     	0.01192     	0.006292    
1           	176         	13.6        	0.006289    	0.01014     	0.005074    
1           	180         	13.8        	0.003071    	0.004149    	-0.0003976  
1           	184         	13.57       	0.002069    	0.01064     	0.004952    
1           	188         	13.35       	0.01366     	0.01456     	0.004632    
1           	192         	12.87       	0.004035    	0.009124    	0.006416    
1           	196         	13.13       	0.00508     	0.003172    	0.004048    
1           	200         	13.02       	0.005826    	0.00725     	0.001317    
1           	204         	13.28       	0.008513    	0.008671    	0.005876    
1           	208         	13.03       	0.004562    	0.01005     	0.007917    
1           	212         	12.78       	0.004295    	0.01106     	0.003566    
1           	216         	12.72       	0.000371    	0.009711    	0.0006265   
1           	220         	12.68       	0.002191    	0.01359     	0.005258    
1           	224         	12.68       	0.0009228   	0.009547    	0.003905    
1           	228         	12.62       	0.0004661   	0.008381    	0.005257    
1           	232         	12.87       	0.002478    	0.007128    	0.003589    
1           	236         	12.65       	0.001873    	0.009457    	0.003408    
1           	240         	12.67       	0.003096    	0.01585     	0.007214    
1           	244         	12.48       	0.006364    	0.009046    	0.003331    
1           	248         	12.27       	0.002079    	0.0062      	0.001213    
1           	252         	12.27       	0.003444    	0.008447    	0.003104    
1           	256         	12.27       	0.008933    	0.00799     	0.003995    
1           	260         	12.05       	0.005376    	0.008955    	0.007632    
1           	264         	11.95       	0.005561    	0.007804    	0.00185     
1           	268         	11.85       	0.003984    	0.007562    	0.002975    
1           	272         	11.77       	0.009952    	0.01006     	0.004716    
1           	276         	11.67       	0.006054    	0.01135     	0.004905    
1           	280         	11.62       	0.006298    	0.01163     	0.008521    
1           	284         	11.65       	0.003083    	0.01039     	0.002655    
1           	288         	11.85       	0.002826    	0.008454    	0.005172    
1           	292         	11.63       	-0.001653   	0.008971    	0.007156    
1           	296         	10.93       	0.004653    	0.008714    	-0.0008239  
1           	300         	11.05       	0.005781    	0.006236    	0.001184    
1           	304         	11.2        	0.005494    	0.01105     	0.006471    
1           	308         	10.92       	0.006813    	0.01039     	0.004515    
1           	312         	11.18       	0.003722    	0.007351    	0.002695    
1           	316         	10.8        	0.00754     	0.01311     	0.004206    
1           	320         	10.6        	0.006637    	0.009768    	-0.0004716  
1           	324         	10.58       	0.002316    	0.01314     	0.002609    
1           	328         	10.65       	0.003773    	0.009206    	0.0007067   
1           	332         	10.53       	0.001355    	0.005546    	0.004274    
1           	336         	10.75       	-0.001142   	0.001417    	0.000635    
1           	340         	10.23       	0.004062    	0.009868    	0.002187    
1           	344         	10.6        	0.003183    	0.008156    	0.002853    
1           	348         	10.15       	0.004895    	0.01224     	0.003955    
1           	352         	10.3        	0.003257    	0.005203    	-0.0002883  
1           	356         	10.18       	0.003284    	0.004812    	0.002067    
1           	360         	10.22       	0.0002605   	0.01036     	0.001215    
1           	364         	10.28       	0.000356    	0.003315    	0.002312    
1           	368         	10.25       	0.007034    	0.009713    	0.0008695   
1           	372         	9.967       	0.002076    	0.01393     	0.008563    
1           	376         	10.12       	0.003995    	0.006851    	-0.001846   
1           	380         	10.08       	0.007931    	0.01393     	0.007932    
1           	384         	10          	0.004735    	0.01343     	0.003287    
1           	388         	10.02       	0.005739    	0.01136     	0.007612    
1           	392         	10.12       	0.004398    	0.01203     	0.00304     
1           	396         	9.75        	-8.47e-05   	0.004288    	0.003379    
1           	400         	10.13       	0.008318    	0.008456    	0.005036    
1           	404         	9.883       	0.003876    	0.01177     	0.004835    
1           	408         	9.883       	0.001578    	0.005488    	0.002971    
1           	412         	10.02       	0.00729     	0.007221    	0.005316    
1           	416         	9.883       	0.004142    	0.01474     	0.008523    
1           	420         	9.85        	-0.0003919  	0.008069    	0.002286    
1           	424         	9.767       	0.01175     	0.01227     	0.006122    
1           	428         	9.733       	-8.96e-05   	0.00815     	0.003857    
1           	432         	9.617       	-9.618e-05  	0.005636    	0.002551    
1           	436         	9.9         	0.005322    	0.00957     	0.005294    
1           	440         	9.383       	0.005224    	0.01386     	0.003759    
1           	444         	9.633       	0.005708    	0.009097    	0.004612    
1           	448         	9.683       	0.008972    	0.009953    	0.005023    
1           	452         	9.583       	0.004306    	0.007948    	0.002739    
1           	456         	9.333       	0.01073     	0.006071    	0.003922    
1           	460         	9.7         	0.004145    	0.006777    	0.005908    
1           	464         	9.533       	0.005211    	0.01362     	0.004126    
1           	468         	9.55        	0.007557    	0.00983     	0.004518    
1           	472         	9.583       	0.001926    	0.008737    	0.003348    
1           	476         	9.533       	0.00804     	0.009077    	0.003868    
1           	480         	9.533       	0.005846    	0.006327    	0.003102    
1           	484         	9.533       	0.00298     	0.003093    	0.004163    
1           	488         	9.533       	0.002761    	0.005736    	0.007913    
1           	492         	9.417       	0.002125    	0.008212    	0.007266    
1           	496         	9.233       	0.006635    	0.003966    	0.0084      
