generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.01522     	8.768e-07   	1.221e-06   	2.534e-06   
10          	10          	0.01341     	2.653e-06   	1.18e-06    	1.851e-06   
15          	10          	0.01418     	2.174e-06   	3.68e-06    	1.643e-06   
20          	10          	0.03432     	1.604e-06   	1.073e-06   	2.21e-06    
25          	10          	0.01777     	5.59e-06    	2.901e-06   	1.622e-06   
30          	10          	0.04249     	3.701e-06   	3.674e-06   	2.368e-06   
35          	10          	0.05646     	5.076e-06   	4.657e-06   	3.724e-06   
40          	10          	0.01778     	1.566e-06   	5.537e-06   	6.871e-07   
45          	10          	0.02197     	1.249e-06   	4.331e-06   	4.14e-06    
50          	10          	0.02411     	5.506e-06   	2.466e-06   	4.401e-06   
55          	10          	0.05118     	9.546e-07   	5.342e-06   	1.094e-06   
60          	10          	0.03173     	3.673e-07   	5.003e-06   	2.837e-06   
65          	10          	0.03929     	6.652e-06   	3.032e-06   	2.636e-06   
70          	10          	0.03538     	4.464e-06   	4.673e-06   	1.29e-06    
75          	10          	0.05821     	2.754e-06   	1.01e-05    	4.803e-06   
80          	10          	0.04906     	2.729e-06   	4.14e-06    	5.945e-06   
85          	10          	0.04075     	6.302e-06   	3.74e-06    	3.329e-06   
90          	10          	0.1196      	3.742e-06   	6.868e-06   	3.786e-06   
95          	10          	0.05864     	3.592e-06   	1.273e-05   	4.473e-06   
100         	10          	0.03677     	3.758e-06   	5.427e-06   	2.872e-06   
105         	10          	0.09596     	1.787e-06   	9.731e-06   	2.747e-06   
110         	10          	0.02201     	2.741e-06   	5.273e-06   	1.884e-06   
115         	10          	0.02246     	2.364e-06   	6.595e-06   	6.456e-06   
120         	10          	0.02201     	4.795e-06   	7.826e-06   	5.759e-06   
125         	10          	0.05846     	5.867e-06   	5.738e-06   	3.072e-06   
130         	10          	0.04327     	5.852e-06   	1.164e-05   	3.401e-06   
135         	10          	0.03836     	3.11e-06    	9.614e-06   	2.677e-06   
140         	10          	0.053       	3.894e-06   	3.197e-06   	1.931e-06   
145         	10          	0.01372     	2.924e-06   	3.809e-06   	5.285e-06   
150         	10          	0.07283     	4.796e-06   	4.403e-06   	1.594e-06   
155         	10          	0.0606      	3.418e-06   	1.199e-05   	4.213e-06   
160         	10          	0.05734     	3.139e-06   	5.21e-06    	5.901e-06   
165         	10          	0.07618     	3.572e-06   	6.238e-06   	7.55e-06    
170         	10          	0.06493     	2.023e-06   	9.495e-06   	3.583e-06   
175         	10          	0.06322     	7.897e-06   	8.453e-06   	3.314e-06   
180         	10          	0.07349     	2.231e-06   	8.099e-06   	3.608e-06   
185         	10          	0.08623     	3.185e-06   	6.592e-06   	3.375e-06   
190         	10          	0.1009      	3.154e-06   	8.733e-06   	3.301e-06   
195         	10          	0.07899     	4.292e-06   	6.838e-06   	9.682e-06   
200         	10          	0.09717     	6.993e-06   	1.156e-05   	4.096e-06   
205         	10          	0.09229     	1.437e-06   	7.738e-06   	2.028e-06   
210         	10          	0.08289     	8.121e-06   	7.784e-06   	5.755e-06   
215         	10          	0.06066     	6.102e-06   	6.668e-06   	5.461e-06   
220         	10          	0.1072      	8.068e-06   	9.475e-06   	6.194e-06   
225         	10          	0.07836     	1.248e-05   	1.703e-05   	4.144e-06   
230         	10          	0.05143     	6.866e-06   	9.195e-06   	9.32e-06    
235         	10          	0.06911     	2.432e-06   	7.473e-06   	7.578e-06   
240         	10          	0.08084     	6.27e-06    	7.021e-06   	9.678e-06   
245         	10          	0.06523     	3.137e-06   	3.862e-06   	4.117e-06   
250         	10          	0.1156      	8.117e-06   	1.02e-05    	1.702e-06   
255         	10          	0.07401     	1.039e-06   	6.874e-06   	3.299e-06   
260         	10          	0.07279     	5.231e-06   	1.03e-05    	5.471e-06   
265         	10          	0.04788     	1.237e-06   	5.35e-06    	1.669e-06   
270         	10          	0.09817     	4.367e-06   	1.43e-05    	7.879e-06   
275         	10          	0.01825     	3.836e-06   	2.124e-05   	2.203e-06   
280         	10          	0.06834     	4.572e-06   	1.377e-05   	1.44e-05    
285         	10          	0.03529     	3.828e-06   	2.251e-06   	9.345e-06   
290         	10          	0.04351     	2.803e-06   	9.59e-06    	2.48e-06    
295         	10          	0.06145     	7.708e-06   	2.889e-06   	3.844e-06   
300         	10          	0.01767     	2.492e-06   	9.956e-06   	4.295e-06   
305         	10          	0.02722     	9.459e-06   	8.622e-06   	5.027e-06   
310         	10          	0.01106     	7.392e-06   	3.816e-06   	2.501e-06   
315         	10          	0.02436     	4.716e-06   	6.609e-06   	2.416e-06   
320         	10          	0.06056     	5.74e-06    	7.925e-06   	4.973e-06   
325         	10          	0.0214      	4.155e-06   	5.979e-06   	3.894e-06   
330         	10          	0.04936     	4.991e-06   	1.004e-05   	4.268e-06   
335         	10          	0.03769     	6.645e-06   	7.386e-06   	2.541e-06   
340         	10          	0.03556     	5.959e-06   	9.024e-06   	3.008e-06   
345         	10          	0.01825     	8.66e-06    	9.593e-06   	8.421e-06   
350         	10          	0.07175     	7.123e-06   	7.178e-06   	5.431e-06   
355         	10          	0.02067     	5.539e-06   	5.288e-06   	9.303e-06   
360         	10          	0.04235     	2.57e-06    	6.915e-06   	2.971e-06   
365         	10          	0.0469      	8.023e-06   	1.055e-05   	3.203e-06   
370         	10          	0.05114     	6.96e-06    	9.502e-06   	9.458e-06   
375         	10          	0.08708     	9.838e-06   	1.283e-05   	6.737e-06   
380         	10          	0.05604     	5.628e-06   	5.262e-06   	2.099e-06   
385         	10          	0.04654     	2.865e-06   	1.483e-05   	2.298e-06   
390         	10          	0.1014      	1.216e-05   	2.832e-06   	7.046e-06   
395         	10          	0.08958     	6.837e-06   	7.129e-06   	6.42e-06    
400         	10          	0.0535      	1.087e-05   	8.599e-06   	3.729e-06   
405         	10          	0.08149     	6.138e-06   	5.333e-06   	5.103e-06   
410         	10          	0.07246     	2.681e-06   	9.536e-06   	2.506e-06   
415         	10          	0.09277     	3.589e-06   	5.511e-06   	1.048e-05   
420         	10          	0.1105      	6.881e-06   	1.842e-05   	6.2e-06     
425         	10          	0.07766     	8.558e-06   	8.27e-06    	8.196e-06   
430         	10          	0.09025     	7.292e-06   	3.144e-06   	1.49e-05    
435         	10          	0.08611     	2.037e-05   	9.455e-06   	4.549e-06   
440         	10          	0.0741      	6.06e-06    	1.133e-05   	1.42e-05    
445         	10          	0.08721     	1.195e-05   	8.828e-06   	2.464e-06   
450         	10          	0.04428     	1.304e-05   	9.874e-06   	7.407e-06   
455         	10          	0.09316     	6.182e-06   	1.315e-05   	7.471e-06   
460         	10          	0.06396     	5.381e-06   	1.824e-05   	8.688e-06   
465         	10          	0.04801     	1.234e-05   	7.559e-06   	5.494e-06   
470         	10          	0.039       	2.487e-06   	5.663e-06   	1.422e-05   
475         	10          	0.05906     	1.022e-05   	1.152e-05   	3.648e-06   
480         	10          	0.0818      	1.094e-05   	1.933e-05   	9.128e-06   
485         	10          	0.03279     	3.964e-06   	1.551e-05   	6.247e-06   
490         	10          	0.04189     	6.739e-06   	2.098e-06   	3.321e-06   
495         	10          	0.06947     	8.823e-06   	6.376e-06   	6.961e-06   
500         	10          	0.06529     	4.554e-06   	1.378e-05   	5.044e-06   
505         	10          	0.1492      	5.388e-06   	8.043e-06   	1.142e-05   
510         	10          	0.07672     	1.043e-05   	8.069e-06   	5.795e-06   
515         	10          	0.1267      	8.603e-06   	7.008e-06   	1.273e-05   
520         	10          	0.1203      	1.182e-05   	1.302e-05   	9.983e-06   
525         	10          	0.08967     	7.846e-06   	1.529e-05   	4.66e-06    
530         	10          	0.101       	3.501e-06   	9.376e-06   	5.402e-06   
535         	10          	0.09389     	1.298e-05   	7.895e-06   	7.604e-06   
540         	10          	0.1125      	1.31e-05    	1.386e-05   	9.087e-06   
545         	10          	0.112       	4.289e-06   	1.094e-05   	6.307e-06   
550         	10          	0.05128     	4.717e-06   	1.226e-05   	6.527e-06   
555         	10          	0.08622     	6.258e-06   	7.652e-06   	9.458e-06   
560         	10          	0.1068      	1.078e-05   	1.814e-05   	1.629e-05   
565         	10          	0.09054     	5.452e-06   	9.662e-06   	1.048e-05   
570         	10          	0.08938     	4.288e-06   	3.689e-06   	6.12e-06    
575         	10          	0.08173     	6.305e-06   	5.973e-06   	1.498e-05   
580         	10          	0.08666     	5.955e-06   	5.312e-06   	8.965e-06   
585         	10          	0.09219     	4.662e-06   	1.545e-05   	7.626e-06   
590         	10          	0.08621     	1.539e-05   	1.709e-05   	1.353e-05   
595         	10          	0.08594     	7.872e-06   	2.122e-05   	8.86e-06    
600         	10          	0.1276      	1.023e-05   	9.67e-06    	2.384e-05   
605         	10          	0.1246      	2.504e-05   	1.211e-05   	1.081e-05   
610         	10          	0.1057      	6.473e-06   	1.856e-05   	3.193e-06   
615         	10          	0.06379     	1.079e-05   	4.826e-06   	3.753e-06   
620         	10          	0.04914     	1.05e-05    	1.171e-05   	4.248e-06   
625         	10          	0.07304     	3.576e-06   	2.64e-05    	7.777e-06   
630         	10          	0.04312     	5.703e-06   	8.726e-06   	1.255e-05   
635         	10          	0.1012      	7.468e-06   	1.162e-05   	9.103e-06   
640         	10          	0.111       	1.056e-05   	1.464e-05   	2.717e-06   
645         	10          	0.1383      	9.312e-06   	2.076e-05   	9.038e-06   
650         	10          	0.07057     	4.235e-06   	7.71e-06    	2.9e-06     
655         	10          	0.05188     	4.812e-06   	7.475e-06   	6.884e-06   
660         	10          	0.09734     	5.567e-06   	1.127e-05   	9.358e-06   
665         	10          	0.07097     	1.117e-05   	1.57e-05    	1.6e-05     
670         	10          	0.09267     	7.784e-06   	1.218e-05   	1.816e-05   
675         	10          	0.08822     	5.282e-06   	1.343e-05   	1.45e-05    
680         	10          	0.07199     	5.435e-06   	1.152e-05   	6.844e-06   
685         	10          	0.07752     	9.845e-06   	9.75e-06    	6.649e-06   
690         	10          	0.1003      	3.61e-06    	7.166e-06   	7.957e-06   
695         	10          	0.08532     	1.04e-05    	1.246e-05   	9.448e-06   
700         	10          	0.07804     	1.233e-05   	7.386e-06   	4.627e-06   
705         	10          	0.04229     	1.365e-05   	2.856e-06   	1.025e-05   
710         	10          	0.07479     	6.548e-06   	3.257e-06   	2.845e-06   
715         	10          	0.1041      	1.978e-05   	1.082e-05   	8.116e-06   
720         	10          	0.07849     	1.178e-05   	7.631e-06   	1.263e-05   
725         	10          	0.08989     	6.782e-06   	2.576e-06   	6.34e-06    
730         	10          	0.05566     	6.762e-06   	1.717e-05   	5.097e-06   
735         	10          	0.07995     	4.395e-06   	7.648e-06   	6.944e-06   
740         	10          	0.07528     	1.085e-05   	7.86e-06    	1.619e-05   
745         	10          	0.05158     	4.906e-06   	8.153e-06   	3.409e-06   
750         	10          	0.03332     	8.674e-06   	1.056e-05   	2.059e-06   
755         	10          	0.04724     	5.55e-06    	2.072e-05   	3.851e-06   
760         	10          	0.09818     	8.401e-06   	2.179e-05   	1.411e-05   
765         	10          	0.04757     	5.804e-06   	1.029e-05   	3.538e-05   
770         	10          	0.05919     	3.577e-06   	8.858e-06   	7.328e-06   
775         	10          	0.05127     	9.042e-06   	5.319e-06   	9.68e-06    
780         	10          	0.0316      	6.888e-06   	1.741e-05   	5.759e-06   
785         	10          	0.05771     	1.122e-05   	1.514e-05   	5.966e-06   
790         	10          	0.04        	5.072e-06   	2.272e-05   	1.376e-05   
795         	10          	0.01693     	4.756e-06   	1.897e-05   	1.494e-05   
800         	10          	0.06497     	3.905e-06   	2.244e-05   	3.399e-06   
805         	10          	0.05445     	1.68e-05    	2.14e-05    	3.063e-06   
810         	10          	0.05372     	2.212e-06   	2.15e-05    	1.045e-05   
815         	10          	0.03717     	1.589e-06   	1.291e-05   	4.09e-06    
820         	10          	0.08066     	7.047e-06   	7.614e-06   	3.621e-06   
825         	10          	0.065       	9.118e-06   	1.689e-05   	2.245e-05   
830         	10          	0.07419     	7.521e-06   	5.007e-06   	8.191e-06   
835         	10          	0.02578     	1.247e-05   	1.336e-05   	5.996e-06   
840         	10          	0.04978     	4.991e-06   	1.619e-05   	9.922e-06   
845         	10          	0.03928     	8.988e-06   	2.59e-05    	7.069e-06   
850         	10          	0.0713      	8.788e-06   	7.212e-06   	7.662e-06   
855         	10          	0.09211     	1.083e-05   	1.497e-05   	6.527e-06   
860         	10          	0.07566     	3.419e-06   	7.04e-06    	6.89e-06    
865         	10          	0.07267     	7.002e-06   	2.551e-05   	2.486e-05   
870         	10          	0.09504     	1.115e-05   	1.42e-05    	8.006e-06   
875         	10          	0.04746     	1.045e-05   	1.186e-05   	8.138e-06   
880         	10          	0.0469      	6.676e-06   	2.301e-05   	8.92e-06    
885         	10          	0.06383     	1.705e-05   	1.834e-05   	1.231e-05   
890         	10          	0.05734     	5.423e-06   	9.362e-06   	1.342e-05   
895         	10          	0.07849     	5.758e-06   	2.076e-05   	4.934e-06   
900         	10          	0.0474      	2.076e-05   	3.797e-05   	1.728e-05   
905         	10          	0.06228     	7.926e-06   	3.026e-05   	2.834e-06   
910         	10          	0.07239     	1.486e-05   	6.451e-06   	6.464e-06   
915         	10          	0.06927     	1.338e-05   	2.165e-05   	1.019e-05   
920         	10          	0.0471      	1.337e-05   	1.955e-05   	1.433e-05   
925         	10          	0.058       	2.403e-05   	6.312e-06   	1.719e-05   
930         	10          	0.03482     	3.909e-06   	1.327e-05   	1.056e-05   
935         	10          	0.07462     	3.485e-06   	3.135e-05   	1.348e-05   
940         	10          	0.05953     	5.291e-06   	7.008e-06   	1.836e-05   
945         	10          	0.06157     	8.561e-06   	6.972e-06   	5.184e-06   
950         	10          	0.06868     	3.629e-05   	2.781e-05   	7.015e-06   
955         	10          	0.04673     	9.295e-06   	1.737e-05   	2.046e-05   
960         	10          	0.04967     	1.81e-05    	1.981e-05   	1.311e-05   
965         	10          	0.05667     	1.833e-05   	1.585e-05   	8.517e-06   
970         	10          	0.08146     	9.049e-06   	1.495e-05   	1.027e-06   
975         	10          	0.05488     	1.213e-05   	1.213e-05   	1.068e-05   
980         	10          	0.06196     	9.177e-06   	1.765e-05   	7.832e-06   
985         	10          	0.0409      	8.819e-06   	8.071e-06   	9.493e-06   
990         	10          	0.08978     	6.328e-06   	1.991e-05   	1.149e-05   
995         	10          	0.06651     	1.364e-05   	2.184e-05   	4.979e-06   
1000        	10          	0.08247     	2.364e-05   	2.122e-05   	4.145e-06   
1005        	10          	0.0501      	1.004e-05   	2.159e-05   	1.232e-05   
1010        	10          	0.08323     	1.047e-05   	9.448e-06   	1.169e-05   
1015        	10          	0.07943     	1.449e-05   	1.539e-05   	5.622e-06   
1020        	10          	0.04589     	1.009e-05   	2.438e-05   	1.513e-05   
1025        	10          	0.09868     	4.586e-06   	7.292e-06   	4.26e-06    
1030        	10          	0.05778     	3.945e-06   	1.433e-05   	1.904e-05   
1035        	10          	0.06673     	1.083e-05   	1.505e-05   	8.458e-06   
1040        	10          	0.06934     	3.462e-06   	1.239e-05   	7.526e-06   
1045        	10          	0.07223     	6.04e-06    	1.674e-05   	6.142e-06   
1050        	10          	0.06964     	5.613e-06   	2.696e-05   	5.92e-06    
1055        	10          	0.04774     	1.546e-05   	1.291e-05   	4.754e-06   
1060        	10          	0.08117     	5.488e-06   	1.813e-05   	7.278e-06   
1065        	10          	0.09656     	5.487e-06   	1.242e-05   	1.602e-05   
1070        	10          	0.1008      	2.356e-05   	1.616e-05   	1.454e-05   
1075        	10          	0.1048      	6.329e-06   	7.476e-06   	1.067e-05   
1080        	10          	0.0626      	1.517e-05   	1.391e-05   	3.667e-05   
1085        	10          	0.09211     	1.083e-05   	8.486e-06   	8.229e-06   
1090        	10          	0.09841     	2.651e-05   	1.611e-05   	1.74e-05    
1095        	10          	0.06085     	1.195e-05   	4.384e-06   	6.541e-06   
1100        	10          	0.1332      	6.049e-06   	1.87e-05    	8.538e-06   
1105        	10          	0.08493     	8.782e-06   	7.423e-06   	1.269e-05   
1110        	10          	0.1013      	8.362e-06   	1.25e-05    	4.177e-06   
1115        	10          	0.09546     	1.265e-05   	1.805e-05   	9.376e-06   
1120        	10          	0.1083      	6.864e-06   	1.43e-05    	9.156e-06   
1125        	10          	0.1076      	3.38e-06    	8.627e-06   	7.58e-06    
1130        	10          	0.09436     	6.955e-06   	1.331e-05   	1.343e-05   
1135        	10          	0.1003      	2.049e-06   	1.019e-05   	9.346e-06   
1140        	10          	0.07667     	2.039e-05   	2.299e-05   	7.602e-06   
1145        	10          	0.07822     	1.111e-05   	1.642e-05   	8.237e-06   
1150        	10          	0.1039      	4.116e-06   	1.248e-05   	1.286e-05   
1155        	10          	0.1055      	5.278e-06   	1.309e-05   	4.427e-06   
1160        	10          	0.0595      	1.1e-05     	2.035e-05   	7.52e-06    
1165        	10          	0.09385     	1.372e-05   	1.724e-05   	9.688e-06   
1170        	10          	0.121       	4.553e-06   	8.122e-06   	1.276e-05   
1175        	10          	0.1819      	9.474e-06   	2.244e-05   	3.505e-06   
1180        	10          	0.1323      	1.068e-05   	2.639e-05   	1.01e-05    
1185        	10          	0.1142      	1.382e-05   	1.279e-05   	1.125e-05   
1190        	10          	0.1394      	8.202e-06   	1.272e-05   	2.236e-05   
1195        	10          	0.1109      	1.605e-05   	1.539e-05   	6.648e-06   
1200        	10          	0.0628      	2.368e-05   	1.581e-05   	9.971e-06   
1205        	10          	0.112       	3.046e-06   	1.142e-05   	1.544e-05   
1210        	10          	0.1662      	5.233e-06   	1.109e-05   	2.779e-05   
1215        	10          	0.1318      	1.005e-05   	2.694e-05   	1.78e-05    
1220        	10          	0.1286      	4.933e-06   	7.462e-06   	9.494e-06   
1225        	10          	0.1115      	1.224e-05   	1.625e-05   	1.352e-05   
1230        	10          	0.0705      	3.52e-06    	1.71e-05    	5.174e-06   
1235        	10          	0.1116      	9.863e-06   	5.699e-06   	1.013e-05   
1240        	10          	0.09601     	1.402e-05   	9.352e-06   	5.798e-06   
1245        	10          	0.1461      	8.791e-06   	2.111e-05   	1.228e-05   
1250        	10          	0.1311      	2.062e-05   	9.08e-06    	6.539e-06   
