generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
4           	10          	17.93       	0.007929    	0.01286     	0.01036     
8           	10          	16.66       	0.0159      	0.02559     	0.01503     
12          	10          	15.71       	0.02095     	0.03271     	0.01661     
16          	10          	14.98       	0.02025     	0.03826     	0.02185     
20          	10          	14.28       	0.02621     	0.04306     	0.0179      
24          	10          	13.71       	0.02185     	0.04075     	0.01897     
28          	10          	13.34       	0.01881     	0.0465      	0.02314     
32          	10          	12.75       	0.02117     	0.04518     	0.02381     
36          	10          	12.29       	0.02205     	0.04642     	0.02159     
40          	10          	11.81       	0.02056     	0.04986     	0.02478     
44          	10          	11.52       	0.01676     	0.04301     	0.02226     
48          	10          	11          	0.021       	0.04456     	0.02261     
52          	10          	10.77       	0.01922     	0.0458      	0.01777     
56          	10          	10.43       	0.02202     	0.04692     	0.01996     
60          	10          	10.27       	0.01961     	0.04493     	0.02547     
64          	10          	9.917       	0.02159     	0.04814     	0.02217     
68          	10          	9.673       	0.0207      	0.04811     	0.02519     
72          	10          	9.457       	0.02256     	0.04924     	0.02347     
76          	10          	9.205       	0.02177     	0.05147     	0.02254     
80          	10          	8.915       	0.02851     	0.05267     	0.02338     
84          	10          	8.752       	0.03055     	0.05096     	0.02085     
88          	10          	8.563       	0.02493     	0.04943     	0.02248     
92          	10          	8.323       	0.02171     	0.04644     	0.01995     
96          	10          	8.148       	0.02053     	0.05008     	0.02497     
100         	10          	7.935       	0.02151     	0.0462      	0.02345     
104         	10          	7.873       	0.02114     	0.04065     	0.02091     
108         	10          	7.635       	0.02349     	0.04392     	0.01843     
112         	10          	7.483       	0.02081     	0.04886     	0.027       
116         	10          	7.32        	0.02478     	0.0499      	0.02058     
120         	10          	7.173       	0.02399     	0.04243     	0.01783     
124         	10          	7.092       	0.02323     	0.04647     	0.02023     
128         	10          	6.882       	0.02438     	0.04857     	0.0223      
132         	10          	6.817       	0.02057     	0.04824     	0.02138     
136         	10          	6.71        	0.02175     	0.04576     	0.01571     
140         	10          	6.555       	0.02262     	0.04589     	0.01998     
144         	10          	6.448       	0.02436     	0.04908     	0.02075     
148         	10          	6.355       	0.02363     	0.04755     	0.02284     
152         	10          	6.307       	0.02414     	0.05042     	0.02162     
156         	10          	6.21        	0.02424     	0.04606     	0.02279     
160         	10          	6.133       	0.01896     	0.04214     	0.01932     
164         	10          	6.04        	0.02255     	0.04574     	0.02226     
168         	10          	5.993       	0.02379     	0.04755     	0.0251      
172         	10          	5.905       	0.02003     	0.04199     	0.02208     
176         	10          	5.84        	0.01876     	0.03789     	0.02197     
180         	10          	5.815       	0.01939     	0.04169     	0.01964     
184         	10          	5.76        	0.01985     	0.04442     	0.02268     
188         	10          	5.67        	0.02205     	0.04334     	0.02347     
192         	10          	5.608       	0.02386     	0.04442     	0.02003     
196         	10          	5.583       	0.02306     	0.04607     	0.02093     
200         	10          	5.497       	0.02622     	0.04881     	0.02365     
204         	10          	5.452       	0.02243     	0.0439      	0.02215     
208         	10          	5.407       	0.02477     	0.04875     	0.02838     
212         	10          	5.333       	0.02115     	0.05022     	0.02536     
216         	10          	5.278       	0.02388     	0.04362     	0.01942     
220         	10          	5.262       	0.02464     	0.04425     	0.02077     
224         	10          	5.227       	0.02272     	0.04447     	0.02235     
228         	10          	5.13        	0.02277     	0.0474      	0.02267     
232         	10          	5.057       	0.02781     	0.05391     	0.02816     
236         	10          	5.055       	0.02461     	0.04748     	0.02443     
240         	10          	4.948       	0.02196     	0.05245     	0.02611     
244         	10          	4.877       	0.02417     	0.05549     	0.02672     
248         	10          	4.827       	0.02306     	0.04593     	0.02706     
252         	10          	4.783       	0.02142     	0.05552     	0.02359     
256         	10          	4.738       	0.02458     	0.04852     	0.02533     
260         	10          	4.757       	0.0222      	0.0463      	0.02218     
264         	10          	4.64        	0.02484     	0.04503     	0.01887     
268         	10          	4.633       	0.02741     	0.0523      	0.02399     
272         	10          	4.677       	0.02128     	0.04308     	0.02155     
276         	10          	4.625       	0.01835     	0.04012     	0.01928     
280         	10          	4.623       	0.02318     	0.04731     	0.02284     
284         	10          	4.562       	0.02718     	0.0475      	0.01929     
288         	10          	4.533       	0.02215     	0.04526     	0.01618     
292         	10          	4.528       	0.02422     	0.04609     	0.01745     
296         	10          	4.445       	0.02328     	0.04623     	0.02063     
300         	10          	4.433       	0.02469     	0.05502     	0.02004     
304         	10          	4.37        	0.02654     	0.05527     	0.01804     
308         	10          	4.338       	0.02615     	0.05455     	0.01851     
312         	10          	4.373       	0.02339     	0.05205     	0.02164     
316         	10          	4.292       	0.02189     	0.04656     	0.02477     
320         	10          	4.26        	0.02231     	0.04667     	0.02397     
324         	10          	4.235       	0.01899     	0.04693     	0.02081     
328         	10          	4.245       	0.02917     	0.05231     	0.0189      
332         	10          	4.192       	0.02506     	0.05115     	0.02624     
336         	10          	4.178       	0.01942     	0.04347     	0.02358     
340         	10          	4.128       	0.02059     	0.04816     	0.02591     
344         	10          	4.102       	0.02139     	0.04432     	0.02068     
348         	10          	4.052       	0.02318     	0.04271     	0.0198      
352         	10          	4.105       	0.02381     	0.04714     	0.01828     
356         	10          	4.04        	0.02359     	0.04657     	0.01605     
360         	10          	3.987       	0.02257     	0.04968     	0.02297     
364         	10          	4.015       	0.02143     	0.04643     	0.02052     
368         	10          	3.973       	0.02449     	0.05235     	0.0227      
372         	10          	3.938       	0.02211     	0.04971     	0.02056     
376         	10          	3.932       	0.02566     	0.05326     	0.01916     
380         	10          	3.927       	0.02478     	0.0442      	0.01837     
384         	10          	3.873       	0.02328     	0.04348     	0.02054     
388         	10          	3.852       	0.02531     	0.05005     	0.02585     
392         	10          	3.847       	0.02574     	0.05304     	0.01863     
396         	10          	3.78        	0.02267     	0.05587     	0.02303     
400         	10          	3.758       	0.02631     	0.04858     	0.02191     
404         	10          	3.773       	0.01683     	0.04519     	0.01916     
408         	10          	3.823       	0.02477     	0.05424     	0.0302      
412         	10          	3.782       	0.01929     	0.05034     	0.02191     
416         	10          	3.777       	0.01854     	0.04304     	0.01883     
420         	10          	3.755       	0.01886     	0.04191     	0.02317     
424         	10          	3.75        	0.01495     	0.03911     	0.02255     
428         	10          	3.753       	0.01232     	0.03992     	0.01946     
432         	10          	3.735       	0.01978     	0.04623     	0.02506     
436         	10          	3.717       	0.02159     	0.04418     	0.02296     
440         	10          	3.655       	0.02102     	0.0403      	0.01818     
444         	10          	3.602       	0.02073     	0.0446      	0.01911     
448         	10          	3.607       	0.02612     	0.05658     	0.02322     
452         	10          	3.613       	0.02459     	0.04688     	0.02316     
456         	10          	3.647       	0.02032     	0.04428     	0.02293     
460         	10          	3.63        	0.0176      	0.04587     	0.01922     
464         	10          	3.603       	0.02159     	0.04559     	0.02467     
468         	10          	3.605       	0.02872     	0.05202     	0.0265      
472         	10          	3.593       	0.02717     	0.04961     	0.02197     
476         	10          	3.545       	0.02809     	0.05676     	0.02469     
480         	10          	3.523       	0.0255      	0.05108     	0.02005     
484         	10          	3.51        	0.0225      	0.05089     	0.02083     
488         	10          	3.507       	0.02077     	0.04793     	0.0207      
492         	10          	3.51        	0.02219     	0.04797     	0.02763     
496         	10          	3.445       	0.02679     	0.05715     	0.02598     
500         	10          	3.453       	0.02054     	0.04833     	0.02182     
504         	10          	3.422       	0.02231     	0.05208     	0.02343     
508         	10          	3.457       	0.02218     	0.04889     	0.0234      
512         	10          	3.437       	0.02498     	0.05251     	0.0207      
516         	10          	3.39        	0.02492     	0.04843     	0.02034     
520         	10          	3.42        	0.02543     	0.04832     	0.02212     
524         	10          	3.382       	0.02678     	0.04287     	0.0209      
528         	10          	3.352       	0.02145     	0.04733     	0.02606     
532         	10          	3.377       	0.02276     	0.03973     	0.01661     
536         	10          	3.312       	0.02368     	0.05037     	0.02602     
540         	10          	3.285       	0.02672     	0.04656     	0.0172      
544         	10          	3.245       	0.02172     	0.044       	0.02105     
548         	10          	3.247       	0.02184     	0.04689     	0.02788     
552         	10          	3.215       	0.03033     	0.05282     	0.02731     
556         	10          	3.202       	0.02556     	0.05613     	0.02395     
560         	10          	3.202       	0.01912     	0.04302     	0.02851     
564         	10          	3.182       	0.02352     	0.04545     	0.01934     
568         	10          	3.185       	0.01969     	0.05002     	0.0269      
572         	10          	3.19        	0.02128     	0.03923     	0.02146     
576         	10          	3.183       	0.01928     	0.04078     	0.02226     
580         	10          	3.19        	0.01324     	0.04215     	0.01785     
584         	10          	3.225       	0.02338     	0.04393     	0.0175      
588         	10          	3.198       	0.01987     	0.04017     	0.02074     
592         	10          	3.183       	0.02512     	0.04966     	0.02621     
596         	10          	3.193       	0.01992     	0.04349     	0.02233     
600         	10          	3.122       	0.02067     	0.04637     	0.02089     
604         	10          	3.16        	0.02931     	0.05099     	0.02317     
608         	10          	3.11        	0.02735     	0.05126     	0.02283     
612         	10          	3.135       	0.02594     	0.04446     	0.02211     
616         	10          	3.117       	0.02858     	0.05185     	0.02212     
620         	10          	3.18        	0.0205      	0.04774     	0.022       
624         	10          	3.125       	0.02058     	0.05602     	0.02698     
628         	10          	3.115       	0.0171      	0.05482     	0.02228     
632         	10          	3.157       	0.01476     	0.04308     	0.0242      
636         	10          	3.075       	0.01915     	0.04214     	0.02091     
640         	10          	3.117       	0.02012     	0.04072     	0.01586     
644         	10          	3.105       	0.02406     	0.04805     	0.01487     
648         	10          	3.088       	0.02468     	0.05113     	0.02482     
652         	10          	3.062       	0.02229     	0.05188     	0.02295     
656         	10          	3.037       	0.01783     	0.04751     	0.02236     
660         	10          	3.03        	0.02424     	0.05074     	0.02061     
664         	10          	2.998       	0.02271     	0.04594     	0.01791     
668         	10          	3.047       	0.01822     	0.0432      	0.01552     
672         	10          	3.045       	0.02335     	0.04437     	0.02187     
676         	10          	3.11        	0.02406     	0.04501     	0.02275     
680         	10          	3.087       	0.02409     	0.04367     	0.01811     
684         	10          	3.033       	0.02323     	0.05288     	0.0211      
688         	10          	3.023       	0.02648     	0.05126     	0.02135     
692         	10          	3.033       	0.01906     	0.0468      	0.02177     
696         	10          	3.04        	0.02282     	0.04589     	0.02507     
700         	10          	3.055       	0.01696     	0.04307     	0.02014     
704         	10          	3.018       	0.02314     	0.05056     	0.02434     
708         	10          	3.032       	0.02056     	0.04727     	0.02098     
712         	10          	3.025       	0.02358     	0.05441     	0.02556     
716         	10          	3.008       	0.02194     	0.04956     	0.02277     
720         	10          	3.013       	0.01642     	0.03977     	0.02257     
724         	10          	2.973       	0.02454     	0.05733     	0.0271      
728         	10          	2.987       	0.01869     	0.04592     	0.01971     
732         	10          	3.005       	0.02187     	0.04446     	0.0229      
736         	10          	2.978       	0.023       	0.03829     	0.01834     
740         	10          	2.988       	0.02493     	0.04493     	0.01959     
744         	10          	2.96        	0.02189     	0.04351     	0.01806     
748         	10          	2.975       	0.02442     	0.05226     	0.02119     
752         	10          	2.968       	0.02234     	0.04801     	0.02249     
756         	10          	2.98        	0.02004     	0.05325     	0.02675     
760         	10          	2.988       	0.02576     	0.04018     	0.02404     
764         	10          	2.978       	0.01703     	0.03733     	0.02445     
768         	10          	2.98        	0.01232     	0.0379      	0.02172     
772         	10          	2.955       	0.02376     	0.04586     	0.02768     
776         	10          	2.948       	0.01786     	0.04586     	0.02017     
780         	10          	2.933       	0.01855     	0.04564     	0.02658     
784         	10          	2.952       	0.01765     	0.03926     	0.01832     
788         	10          	2.92        	0.02521     	0.04011     	0.01881     
792         	10          	2.902       	0.01797     	0.04471     	0.02548     
796         	10          	2.875       	0.01992     	0.04151     	0.01775     
800         	10          	2.865       	0.02649     	0.04486     	0.01572     
804         	10          	2.865       	0.01786     	0.03972     	0.01908     
808         	10          	2.832       	0.01883     	0.03495     	0.01984     
812         	10          	2.823       	0.02794     	0.04353     	0.01831     
816         	10          	2.798       	0.01809     	0.03918     	0.01739     
820         	10          	2.823       	0.02267     	0.04631     	0.0231      
824         	10          	2.823       	0.02702     	0.05048     	0.0249      
828         	10          	2.845       	0.01896     	0.04338     	0.01686     
832         	10          	2.835       	0.02465     	0.04385     	0.02468     
836         	10          	2.84        	0.02505     	0.04445     	0.01781     
840         	10          	2.832       	0.02344     	0.04801     	0.0237      
844         	10          	2.832       	0.02068     	0.04122     	0.01713     
848         	10          	2.8         	0.0185      	0.0443      	0.02548     
852         	10          	2.845       	0.01952     	0.04412     	0.02641     
856         	10          	2.842       	0.02025     	0.03716     	0.02237     
860         	10          	2.83        	0.01438     	0.04051     	0.0224      
864         	10          	2.852       	0.02511     	0.04365     	0.02606     
868         	10          	2.863       	0.02137     	0.04302     	0.02127     
872         	10          	2.843       	0.02246     	0.03736     	0.01656     
876         	10          	2.833       	0.0216      	0.0427      	0.01873     
880         	10          	2.778       	0.0184      	0.04402     	0.02227     
884         	10          	2.772       	0.02485     	0.05048     	0.02159     
888         	10          	2.782       	0.01924     	0.04157     	0.02287     
892         	10          	2.745       	0.02572     	0.04396     	0.02002     
896         	10          	2.768       	0.02374     	0.04399     	0.02495     
900         	10          	2.787       	0.02704     	0.04447     	0.02092     
904         	10          	2.805       	0.02216     	0.04111     	0.01626     
908         	10          	2.805       	0.02151     	0.04131     	0.01777     
912         	10          	2.818       	0.02191     	0.04654     	0.01819     
916         	10          	2.793       	0.02406     	0.04624     	0.02069     
920         	10          	2.743       	0.0212      	0.03745     	0.01724     
924         	10          	2.792       	0.02824     	0.04816     	0.03242     
928         	10          	2.797       	0.0239      	0.04918     	0.0235      
932         	10          	2.837       	0.02087     	0.0487      	0.02712     
936         	10          	2.802       	0.03042     	0.04584     	0.01729     
940         	10          	2.808       	0.0275      	0.04508     	0.02264     
944         	10          	2.8         	0.02474     	0.05065     	0.0292      
948         	10          	2.8         	0.02548     	0.04735     	0.02003     
952         	10          	2.82        	0.02001     	0.04201     	0.01988     
956         	10          	2.842       	0.02757     	0.04324     	0.02608     
960         	10          	2.812       	0.01853     	0.04148     	0.02269     
964         	10          	2.813       	0.02431     	0.04562     	0.02123     
968         	10          	2.792       	0.01789     	0.04592     	0.02288     
972         	10          	2.807       	0.02492     	0.05242     	0.03026     
976         	10          	2.832       	0.02081     	0.05433     	0.0286      
980         	10          	2.797       	0.02746     	0.05778     	0.02947     
984         	10          	2.797       	0.02548     	0.05495     	0.02491     
988         	10          	2.777       	0.02287     	0.05112     	0.02685     
992         	10          	2.793       	0.0247      	0.04915     	0.02196     
996         	10          	2.783       	0.01967     	0.05078     	0.02398     
1000        	10          	2.797       	0.02264     	0.04207     	0.01809     
1004        	10          	2.758       	0.0266      	0.04568     	0.02145     
1008        	10          	2.778       	0.0163      	0.04042     	0.01758     
1012        	10          	2.758       	0.02067     	0.04117     	0.01565     
1016        	10          	2.755       	0.02316     	0.05287     	0.02187     
1020        	10          	2.757       	0.02374     	0.05436     	0.02377     
1024        	10          	2.757       	0.02482     	0.0537      	0.02535     
1028        	10          	2.765       	0.0261      	0.06067     	0.02837     
1032        	10          	2.778       	0.02997     	0.05908     	0.02659     
1036        	10          	2.777       	0.01877     	0.04846     	0.01921     
1040        	10          	2.763       	0.02044     	0.05037     	0.02116     
1044        	10          	2.79        	0.01944     	0.05182     	0.02037     
1048        	10          	2.76        	0.01556     	0.04772     	0.02574     
1052        	10          	2.757       	0.02555     	0.0463      	0.02211     
1056        	10          	2.758       	0.02005     	0.04742     	0.02162     
1060        	10          	2.755       	0.02303     	0.05351     	0.02404     
1064        	10          	2.735       	0.01644     	0.04833     	0.02716     
1068        	10          	2.707       	0.01709     	0.0487      	0.02598     
1072        	10          	2.72        	0.02301     	0.04805     	0.02251     
1076        	10          	2.723       	0.02597     	0.05147     	0.01975     
1080        	10          	2.698       	0.02173     	0.0466      	0.02284     
1084        	10          	2.703       	0.02214     	0.04845     	0.02254     
1088        	10          	2.677       	0.02626     	0.04259     	0.01808     
1092        	10          	2.69        	0.0249      	0.04696     	0.0178      
1096        	10          	2.702       	0.02058     	0.04376     	0.01519     
1100        	10          	2.693       	0.01991     	0.04016     	0.01683     
1104        	10          	2.703       	0.02136     	0.04217     	0.01716     
1108        	10          	2.695       	0.02334     	0.04438     	0.01897     
1112        	10          	2.72        	0.02539     	0.04663     	0.01714     
1116        	10          	2.698       	0.02002     	0.04044     	0.01825     
1120        	10          	2.745       	0.02715     	0.04493     	0.02344     
1124        	10          	2.702       	0.01513     	0.03668     	0.019       
1128        	10          	2.697       	0.0227      	0.04888     	0.02004     
1132        	10          	2.737       	0.02447     	0.04558     	0.02323     
1136        	10          	2.698       	0.02613     	0.04272     	0.0204      
1140        	10          	2.685       	0.02425     	0.0391      	0.02295     
1144        	10          	2.67        	0.02685     	0.04307     	0.01946     
1148        	10          	2.688       	0.01899     	0.04354     	0.01931     
1152        	10          	2.648       	0.01597     	0.044       	0.02196     
1156        	10          	2.648       	0.02251     	0.04678     	0.01699     
1160        	10          	2.655       	0.02379     	0.04509     	0.01827     
1164        	10          	2.683       	0.02047     	0.04095     	0.01973     
1168        	10          	2.672       	0.03136     	0.05005     	0.02061     
1172        	10          	2.668       	0.01534     	0.03569     	0.02        
1176        	10          	2.638       	0.02149     	0.03678     	0.0213      
1180        	10          	2.662       	0.02127     	0.03595     	0.02079     
1184        	10          	2.638       	0.01636     	0.03654     	0.02081     
1188        	10          	2.625       	0.01091     	0.03851     	0.02428     
1192        	10          	2.607       	0.02146     	0.0378      	0.02238     
1196        	10          	2.61        	0.02032     	0.04183     	0.01594     
1200        	10          	2.598       	0.022       	0.04464     	0.02408     
1204        	10          	2.607       	0.02062     	0.04138     	0.01709     
1208        	10          	2.607       	0.01659     	0.03934     	0.02618     
1212        	10          	2.6         	0.02542     	0.04182     	0.0196      
1216        	10          	2.637       	0.02167     	0.04368     	0.0159      
1220        	10          	2.627       	0.01503     	0.04645     	0.01798     
1224        	10          	2.587       	0.02123     	0.04125     	0.01887     
1228        	10          	2.598       	0.02644     	0.04812     	0.02416     
1232        	10          	2.638       	0.02197     	0.04752     	0.02494     
1236        	10          	2.633       	0.02045     	0.0483      	0.02573     
1240        	10          	2.61        	0.01941     	0.04875     	0.02542     
1244        	10          	2.63        	0.03251     	0.06595     	0.02941     
1248        	10          	2.655       	0.02609     	0.0465      	0.02403     
1252        	10          	2.643       	0.02573     	0.0436      	0.0235      
1256        	10          	2.632       	0.02344     	0.04728     	0.02726     
1260        	10          	2.658       	0.03086     	0.05187     	0.02406     
1264        	10          	2.633       	0.01669     	0.04243     	0.0245      
1268        	10          	2.677       	0.02137     	0.05054     	0.01938     
1272        	10          	2.675       	0.02417     	0.04852     	0.02189     
1276        	10          	2.663       	0.02192     	0.03949     	0.02277     
1280        	10          	2.64        	0.01608     	0.04091     	0.01732     
1284        	10          	2.645       	0.02022     	0.03868     	0.02371     
1288        	10          	2.635       	0.02056     	0.04785     	0.02269     
1292        	10          	2.64        	0.02684     	0.05824     	0.02188     
1296        	10          	2.653       	0.02051     	0.04208     	0.01954     
1300        	10          	2.602       	0.01836     	0.05441     	0.03113     
1304        	10          	2.615       	0.0213      	0.05028     	0.02985     
1308        	10          	2.613       	0.02025     	0.05458     	0.02254     
1312        	10          	2.615       	0.02663     	0.05415     	0.02127     
1316        	10          	2.657       	0.01754     	0.04013     	0.0175      
1320        	10          	2.64        	0.01929     	0.04818     	0.0231      
1324        	10          	2.673       	0.01714     	0.03774     	0.02052     
1328        	10          	2.655       	0.02762     	0.04543     	0.02038     
1332        	10          	2.658       	0.02584     	0.04874     	0.0173      
1336        	10          	2.655       	0.02641     	0.04502     	0.02143     
1340        	10          	2.673       	0.02413     	0.04046     	0.02237     
1344        	10          	2.635       	0.01945     	0.03908     	0.01934     
1348        	10          	2.637       	0.02778     	0.03845     	0.01968     
1352        	10          	2.632       	0.02064     	0.03521     	0.02275     
1356        	10          	2.653       	0.01401     	0.04363     	0.02307     
1360        	10          	2.61        	0.02061     	0.03989     	0.01693     
1364        	10          	2.605       	0.01784     	0.04437     	0.02334     
1368        	10          	2.642       	0.02031     	0.03962     	0.02343     
1372        	10          	2.592       	0.02673     	0.0505      	0.01837     
1376        	10          	2.582       	0.03133     	0.0562      	0.02317     
1380        	10          	2.632       	0.01984     	0.03711     	0.02667     
1384        	10          	2.592       	0.02324     	0.04901     	0.01962     
1388        	10          	2.525       	0.02043     	0.04045     	0.01657     
1392        	10          	2.572       	0.02112     	0.04536     	0.01651     
1396        	10          	2.583       	0.0235      	0.03455     	0.01971     
1400        	10          	2.562       	0.01949     	0.03974     	0.01686     
1404        	10          	2.557       	0.02903     	0.05775     	0.03496     
1408        	10          	2.59        	0.02023     	0.04995     	0.02967     
1412        	10          	2.563       	0.02233     	0.05477     	0.02882     
1416        	10          	2.553       	0.02843     	0.05074     	0.02357     
1420        	10          	2.573       	0.01997     	0.04848     	0.0253      
1424        	10          	2.568       	0.02777     	0.05107     	0.02779     
1428        	10          	2.578       	0.02552     	0.05152     	0.02149     
1432        	10          	2.572       	0.01945     	0.0415      	0.01965     
1436        	10          	2.573       	0.02101     	0.04186     	0.02092     
1440        	10          	2.575       	0.02033     	0.04262     	0.02038     
1444        	10          	2.54        	0.0278      	0.05974     	0.0224      
1448        	10          	2.548       	0.02325     	0.05319     	0.02732     
1452        	10          	2.552       	0.02004     	0.04375     	0.02139     
1456        	10          	2.563       	0.01641     	0.04676     	0.0232      
1460        	10          	2.543       	0.01227     	0.05002     	0.02826     
1464        	10          	2.538       	0.02186     	0.05128     	0.02812     
1468        	10          	2.52        	0.01949     	0.04559     	0.02227     
1472        	10          	2.565       	0.01891     	0.04276     	0.02299     
1476        	10          	2.515       	0.02194     	0.04919     	0.02166     
1480        	10          	2.535       	0.01652     	0.05505     	0.02781     
1484        	10          	2.485       	0.01711     	0.03644     	0.01491     
1488        	10          	2.515       	0.01916     	0.03551     	0.01496     
1492        	10          	2.503       	0.02618     	0.0383      	0.01367     
1496        	10          	2.523       	0.02224     	0.054       	0.01906     
1500        	10          	2.517       	0.02522     	0.04836     	0.02463     
1504        	10          	2.533       	0.0253      	0.04252     	0.02339     
1508        	10          	2.513       	0.01898     	0.03666     	0.01646     
1512        	10          	2.492       	0.02008     	0.04536     	0.02239     
1516        	10          	2.5         	0.01521     	0.04072     	0.01707     
1520        	10          	2.473       	0.02044     	0.03963     	0.01576     
1524        	10          	2.5         	0.02438     	0.03748     	0.01081     
1528        	10          	2.502       	0.02038     	0.04311     	0.0189      
1532        	10          	2.483       	0.02172     	0.04145     	0.01543     
1536        	10          	2.485       	0.01866     	0.04103     	0.02326     
1540        	10          	2.48        	0.01849     	0.04618     	0.0238      
1544        	10          	2.48        	0.02273     	0.04487     	0.02168     
1548        	10          	2.5         	0.02656     	0.04365     	0.01921     
1552        	10          	2.488       	0.01143     	0.03533     	0.01647     
1556        	10          	2.503       	0.01632     	0.03248     	0.01588     
1560        	10          	2.47        	0.02359     	0.04194     	0.02248     
1564        	10          	2.46        	0.02104     	0.0454      	0.03213     
1568        	10          	2.482       	0.01992     	0.04061     	0.0199      
1572        	10          	2.503       	0.01711     	0.04137     	0.02415     
1576        	10          	2.497       	0.01989     	0.04128     	0.02009     
1580        	10          	2.495       	0.02001     	0.04603     	0.0239      
1584        	10          	2.47        	0.0184      	0.05738     	0.02869     
1588        	10          	2.447       	0.02461     	0.05664     	0.02472     
1592        	10          	2.475       	0.0287      	0.05998     	0.02046     
1596        	10          	2.477       	0.0206      	0.04886     	0.02265     
1600        	10          	2.473       	0.02245     	0.04694     	0.01786     
1604        	10          	2.462       	0.02003     	0.04721     	0.01671     
1608        	10          	2.487       	0.02405     	0.04429     	0.01518     
1612        	10          	2.51        	0.01865     	0.04342     	0.01133     
1616        	10          	2.52        	0.01853     	0.04149     	0.02462     
1620        	10          	2.493       	0.02152     	0.04238     	0.01914     
1624        	10          	2.518       	0.02241     	0.04078     	0.01652     
1628        	10          	2.477       	0.02292     	0.03679     	0.01651     
1632        	10          	2.497       	0.02242     	0.03802     	0.02129     
1636        	10          	2.457       	0.02756     	0.05382     	0.0167      
1640        	10          	2.447       	0.02896     	0.04784     	0.01637     
1644        	10          	2.442       	0.02509     	0.05019     	0.0235      
1648        	10          	2.438       	0.02414     	0.04961     	0.02187     
1652        	10          	2.445       	0.0252      	0.04683     	0.02504     
1656        	10          	2.5         	0.01814     	0.04902     	0.02484     
1660        	10          	2.497       	0.02838     	0.05672     	0.02146     
1664        	10          	2.507       	0.01933     	0.0539      	0.01952     
1668        	10          	2.475       	0.02462     	0.04637     	0.02485     
1672        	10          	2.472       	0.0315      	0.061       	0.0248      
1676        	10          	2.435       	0.02596     	0.05548     	0.02342     
1680        	10          	2.422       	0.0214      	0.0619      	0.03368     
1684        	10          	2.423       	0.02082     	0.06144     	0.02822     
1688        	10          	2.465       	0.0232      	0.056       	0.02665     
1692        	10          	2.42        	0.02998     	0.05865     	0.02365     
1696        	10          	2.445       	0.03423     	0.05995     	0.02298     
1700        	10          	2.425       	0.0197      	0.05192     	0.0238      
1704        	10          	2.468       	0.01726     	0.04318     	0.0236      
1708        	10          	2.435       	0.02557     	0.05031     	0.02313     
1712        	10          	2.432       	0.0179      	0.04984     	0.01942     
1716        	10          	2.398       	0.01929     	0.04776     	0.02274     
1720        	10          	2.402       	0.01847     	0.04363     	0.01794     
1724        	10          	2.387       	0.01607     	0.04035     	0.01646     
1728        	10          	2.423       	0.02541     	0.0417      	0.0231      
1732        	10          	2.448       	0.01867     	0.04281     	0.01818     
1736        	10          	2.448       	0.02435     	0.0428      	0.01976     
1740        	10          	2.433       	0.02038     	0.04137     	0.01949     
1744        	10          	2.472       	0.019       	0.03874     	0.01588     
1748        	10          	2.447       	0.02306     	0.05327     	0.02169     
1752        	10          	2.488       	0.02027     	0.04053     	0.01548     
1756        	10          	2.49        	0.01839     	0.03716     	0.01897     
1760        	10          	2.497       	0.01469     	0.04295     	0.02232     
1764        	10          	2.443       	0.01842     	0.05246     	0.02629     
1768        	10          	2.445       	0.01911     	0.04997     	0.02514     
1772        	10          	2.435       	0.02082     	0.04473     	0.0235      
1776        	10          	2.442       	0.02483     	0.04952     	0.02341     
1780        	10          	2.428       	0.01622     	0.04847     	0.02417     
1784        	10          	2.433       	0.02014     	0.04945     	0.0337      
1788        	10          	2.442       	0.01755     	0.04516     	0.03138     
1792        	10          	2.378       	0.01896     	0.03999     	0.02009     
1796        	10          	2.413       	0.02267     	0.04112     	0.02144     
1800        	10          	2.41        	0.02572     	0.04442     	0.01771     
1804        	10          	2.408       	0.02032     	0.04357     	0.02377     
1808        	10          	2.38        	0.02247     	0.04357     	0.02909     
1812        	10          	2.417       	0.02626     	0.04558     	0.02238     
1816        	10          	2.413       	0.02638     	0.04985     	0.01917     
1820        	10          	2.393       	0.02383     	0.04566     	0.018       
1824        	10          	2.423       	0.02966     	0.04682     	0.01844     
1828        	10          	2.462       	0.02363     	0.04585     	0.01943     
