replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	5           	17.67       	0.01075     	0.01583     	0.00784     
1           	10          	16.47       	0.01315     	0.02477     	0.01417     
1           	15          	15.52       	0.01107     	0.03379     	0.02278     
1           	20          	14.53       	0.02001     	0.03294     	0.02309     
1           	25          	13.9        	0.01672     	0.03626     	0.01728     
1           	30          	13.1        	0.02026     	0.03912     	0.02173     
1           	35          	12.63       	0.01918     	0.02129     	0.01812     
1           	40          	12.1        	0.02584     	0.04534     	0.02316     
1           	45          	11.63       	0.01537     	0.04007     	0.03077     
1           	50          	11.2        	0.01356     	0.0401      	0.03372     
1           	55          	11          	0.01379     	0.03923     	0.01812     
1           	60          	10.4        	0.02423     	0.04918     	0.02487     
1           	65          	9.983       	0.02405     	0.05751     	0.02765     
1           	70          	9.8         	0.03856     	0.06615     	0.02339     
1           	75          	9.383       	0.03698     	0.05903     	0.02997     
1           	80          	9.35        	0.02833     	0.05985     	0.02034     
1           	85          	8.583       	0.0344      	0.05908     	0.01531     
1           	90          	8.617       	0.01554     	0.03923     	0.01907     
1           	95          	8.4         	0.02158     	0.0353      	0.0272      
1           	100         	8.033       	0.03433     	0.03444     	0.01935     
1           	105         	8.017       	0.0203      	0.0451      	0.01461     
1           	110         	7.833       	0.02456     	0.05276     	0.01795     
1           	115         	7.683       	0.01662     	0.05477     	0.02408     
1           	120         	7.4         	0.02312     	0.05785     	0.03101     
1           	125         	7.217       	0.02088     	0.05621     	0.0257      
1           	130         	7.083       	0.01618     	0.04176     	0.0168      
1           	135         	7           	0.02278     	0.04111     	0.01491     
1           	140         	6.833       	0.03074     	0.05526     	0.0221      
1           	145         	6.9         	0.01351     	0.03234     	0.0137      
1           	150         	6.717       	0.03192     	0.05073     	0.01661     
1           	155         	6.567       	0.02631     	0.04741     	0.01449     
1           	160         	6.5         	0.02427     	0.02694     	0.02058     
1           	165         	6.433       	0.01861     	0.05052     	0.02303     
1           	170         	6.417       	0.02528     	0.05594     	0.01815     
1           	175         	6.367       	0.03378     	0.04201     	0.01013     
1           	180         	6.15        	0.02623     	0.05075     	0.01539     
1           	185         	5.867       	0.02359     	0.04176     	0.01372     
1           	190         	5.817       	0.0188      	0.04416     	0.02137     
1           	195         	5.883       	0.02628     	0.04738     	0.01939     
1           	200         	5.883       	0.009779    	0.04299     	0.02726     
1           	205         	5.8         	0.02932     	0.03768     	0.0258      
1           	210         	5.833       	0.01975     	0.0524      	0.02858     
1           	215         	5.683       	0.01699     	0.04368     	0.02415     
1           	220         	5.733       	0.02437     	0.05133     	0.02957     
1           	225         	5.583       	0.01856     	0.0337      	0.01377     
1           	230         	5.45        	0.02152     	0.02952     	0.01088     
1           	235         	5.617       	0.02382     	0.03928     	0.01932     
1           	240         	5.583       	0.03774     	0.03905     	0.009186    
1           	245         	5.567       	0.0299      	0.06908     	0.0269      
1           	250         	5.567       	0.03996     	0.06184     	0.01679     
1           	255         	5.65        	0.01322     	0.02919     	0.0233      
1           	260         	5.467       	0.0291      	0.05565     	0.01877     
1           	265         	5.533       	0.02363     	0.05626     	0.0144      
1           	270         	5.317       	0.02926     	0.03025     	0.009624    
1           	275         	5.15        	0.0003954   	0.01913     	0.01113     
1           	280         	5.067       	0.02447     	0.04379     	0.01427     
1           	285         	4.85        	0.02593     	0.05389     	0.02263     
1           	290         	5.083       	0.02081     	0.05296     	0.01136     
1           	295         	4.95        	0.01684     	0.05714     	0.03114     
1           	300         	4.767       	0.01893     	0.04615     	0.03145     
1           	305         	4.733       	0.02033     	0.03555     	0.03916     
1           	310         	4.833       	0.01644     	0.02973     	0.01908     
1           	315         	4.667       	0.01004     	0.03554     	0.0166      
1           	320         	4.617       	0.03171     	0.04534     	0.03664     
1           	325         	4.617       	0.03162     	0.04404     	0.02278     
1           	330         	4.6         	0.00817     	0.04204     	0.03065     
1           	335         	4.567       	0.01156     	0.03618     	0.009231    
1           	340         	4.617       	0.01715     	0.0432      	0.02693     
1           	345         	4.7         	0.02451     	0.03944     	0.01924     
1           	350         	4.817       	0.02006     	0.04177     	0.02181     
1           	355         	4.533       	0.01841     	0.05372     	0.02007     
1           	360         	4.55        	0.02654     	0.04569     	0.02494     
1           	365         	4.717       	0.01332     	0.04123     	0.0229      
1           	370         	4.633       	0.03939     	0.04845     	0.02205     
1           	375         	4.583       	0.01759     	0.03699     	0.009307    
1           	380         	4.55        	0.03362     	0.08956     	0.0183      
1           	385         	4.533       	0.03274     	0.08001     	0.02857     
1           	390         	4.433       	0.0191      	0.05561     	0.03177     
1           	395         	4.383       	0.01194     	0.04493     	0.04487     
1           	400         	4.167       	0.03941     	0.06293     	0.01385     
1           	405         	4.217       	0.03152     	0.06352     	0.01291     
1           	410         	4.067       	0.01847     	0.04788     	0.008976    
1           	415         	4.317       	0.01586     	0.02749     	0.009939    
1           	420         	4.333       	0.01871     	0.02896     	0.01113     
1           	425         	4.083       	0.03267     	0.06143     	0.03152     
1           	430         	4.217       	0.0225      	0.05679     	0.01201     
1           	435         	3.983       	0.03157     	0.04917     	0.006975    
1           	440         	3.95        	0.0295      	0.04214     	0.0244      
1           	445         	4.067       	0.02388     	0.04        	0.005298    
1           	450         	4.117       	0.03877     	0.07601     	0.02834     
1           	455         	3.983       	0.01616     	0.05066     	0.02703     
1           	460         	4.117       	0.03667     	0.03735     	0.04212     
1           	465         	4.083       	0.03522     	0.04861     	0.03326     
1           	470         	4.117       	0.02333     	0.03327     	0.01807     
1           	475         	4.067       	0.03475     	0.04504     	0.0192      
1           	480         	4.267       	0.03223     	0.06142     	0.02063     
1           	485         	3.983       	0.02377     	0.06157     	0.03269     
1           	490         	3.983       	0.02        	0.03439     	0.0126      
1           	495         	3.983       	0.03921     	0.06001     	0.03359     
1           	500         	3.967       	0.01547     	0.05961     	0.02732     
1           	505         	4.1         	0.01161     	0.04498     	0.009805    
1           	510         	4.017       	0.03836     	0.06602     	0.02666     
1           	515         	4.2         	0.0158      	0.03395     	0.02638     
1           	520         	4.133       	0.02751     	0.05611     	0.02085     
1           	525         	4.133       	0.03184     	0.06605     	0.009447    
1           	530         	4.1         	0.01111     	0.05556     	0.03617     
1           	535         	3.9         	0.02802     	0.05103     	0.02354     
1           	540         	3.9         	0.0303      	0.0656      	0.02684     
1           	545         	3.933       	0.01076     	0.0536      	0.02407     
1           	550         	3.967       	0.02669     	0.0586      	0.03366     
1           	555         	3.833       	0.01574     	0.05185     	0.02672     
1           	560         	3.75        	0.02453     	0.04221     	0.02626     
1           	565         	3.567       	0.02022     	0.04499     	0.02437     
1           	570         	3.667       	0.01997     	0.03064     	0.005883    
1           	575         	3.5         	0.0268      	0.05358     	0.04761     
1           	580         	3.683       	0.03379     	0.04474     	0.03611     
1           	585         	3.417       	0.02971     	0.06295     	0.04903     
1           	590         	3.533       	0.02827     	0.05278     	0.02658     
1           	595         	3.483       	0.02609     	0.05202     	0.00755     
1           	600         	3.567       	0.02142     	0.04884     	0.03978     
1           	605         	3.517       	0.02486     	0.04297     	0.02937     
1           	610         	3.55        	0.01665     	0.06688     	0.03658     
1           	615         	3.483       	0.01859     	0.05403     	0.02904     
1           	620         	3.7         	0.01274     	0.04501     	0.01542     
1           	625         	3.817       	0.03244     	0.055       	0.02814     
1           	630         	3.75        	0.01535     	0.03016     	0.01501     
1           	635         	3.533       	0.02075     	0.02546     	-0.0002969  
1           	640         	3.467       	0.02297     	0.02453     	0.01887     
1           	645         	3.533       	0.03352     	0.01965     	0.008038    
1           	650         	3.45        	0.01638     	0.02178     	0.0121      
1           	655         	3.35        	0.02567     	0.04155     	0.03238     
1           	660         	3.417       	0.02461     	0.05575     	0.0203      
1           	665         	3.483       	0.01285     	0.0275      	0.02079     
1           	670         	3.4         	0.009906    	0.04051     	0.0351      
1           	675         	3.517       	0.01668     	0.04826     	0.03226     
1           	680         	3.4         	0.0242      	0.05609     	0.01381     
1           	685         	3.467       	0.02113     	0.0422      	0.02704     
1           	690         	3.35        	0.01373     	0.04205     	0.03404     
1           	695         	3.317       	0.02014     	0.05658     	0.02779     
1           	700         	3.367       	0.01222     	0.04085     	0.01014     
1           	705         	3.167       	0.02421     	0.03916     	0.014       
1           	710         	3.4         	0.02243     	0.07709     	0.04224     
1           	715         	3.367       	0.01882     	0.08755     	0.04224     
1           	720         	3.317       	0.005864    	0.07359     	0.03456     
1           	725         	3.3         	0.04166     	0.03883     	0.01829     
1           	730         	3.3         	0.04561     	0.06695     	0.00934     
1           	735         	3.2         	0.04157     	0.08766     	0.0278      
1           	740         	3.283       	0.02647     	0.03359     	0.01299     
1           	745         	3.267       	0.007354    	0.02709     	0.02276     
1           	750         	3.333       	0.01692     	0.04261     	0.02659     
1           	755         	3.183       	0.009079    	0.03318     	0.01697     
1           	760         	3.317       	0.03689     	0.06451     	0.01991     
1           	765         	3.283       	0.04523     	0.05789     	0.02085     
1           	770         	3.3         	0.004629    	0.02331     	0.02562     
1           	775         	3.333       	0.0232      	0.03807     	0.0118      
1           	780         	3.233       	0.02217     	0.03495     	0.01426     
1           	785         	3.4         	0.02095     	0.03065     	0.01052     
1           	790         	3.267       	0.04247     	0.03594     	0.0111      
1           	795         	3.2         	0.0223      	0.03422     	0.01222     
1           	800         	3.183       	0.02202     	0.03992     	0.02439     
1           	805         	3.267       	0.01868     	0.05752     	0.02179     
1           	810         	3.3         	0.02368     	0.03377     	0.007701    
1           	815         	3.4         	0.02586     	0.0341      	0.02713     
1           	820         	3.283       	0.01271     	0.03074     	0.02295     
1           	825         	3.1         	0.0143      	0.02964     	0.0114      
1           	830         	3.233       	0.02344     	0.02917     	0.005686    
1           	835         	3.183       	0.02133     	0.03199     	0.00687     
1           	840         	3.283       	0.01898     	0.02432     	0.03673     
1           	845         	3.183       	0.01919     	0.03049     	0.02588     
1           	850         	3.183       	0.02004     	0.02673     	0.02162     
1           	855         	3.117       	0.02061     	0.06314     	0.05308     
1           	860         	3.3         	0.009566    	0.03098     	0.02342     
1           	865         	3.183       	0.01157     	0.03325     	0.01785     
1           	870         	3.25        	0.01427     	0.01744     	0.0047      
1           	875         	3.2         	0.03305     	0.03152     	0.008455    
1           	880         	3.417       	0.01672     	0.04095     	0.01884     
1           	885         	3.283       	0.02601     	0.04974     	0.02682     
1           	890         	3.15        	0.03229     	0.04633     	0.01544     
