generation  	alive.rpl   	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
5           	10          	0.04154     	1.061e-05   	9.156e-06   	5.404e-06   
10          	10          	0.02832     	1.159e-05   	1.455e-05   	8.389e-06   
15          	10          	0.03538     	2.311e-05   	3.021e-05   	1.428e-05   
20          	10          	0.04834     	2.026e-05   	2.541e-05   	3.615e-05   
25          	10          	0.07554     	2.43e-05    	5.176e-05   	2.691e-05   
30          	10          	0.07133     	2.837e-05   	8.706e-05   	1.213e-05   
35          	10          	0.1147      	2.24e-05    	0.0001137   	5.04e-05    
40          	10          	0.02573     	2.986e-05   	2.731e-05   	3.361e-05   
45          	10          	0.02057     	2.05e-05    	7.425e-05   	4.619e-05   
50          	10          	0.051       	4.952e-05   	0.0001281   	4.727e-05   
55          	10          	0.1006      	3.962e-05   	5.548e-05   	2.388e-05   
60          	10          	0.1087      	3.345e-05   	2.558e-05   	1.701e-05   
65          	10          	0.09911     	1.278e-05   	5.406e-05   	3.518e-05   
70          	10          	0.05006     	5.379e-05   	0.0001367   	1.754e-05   
75          	10          	0.05656     	4.721e-05   	6.05e-05    	1.826e-05   
80          	10          	0.07412     	3.014e-05   	7.44e-05    	1.529e-05   
85          	10          	0.1022      	5.637e-05   	0.0001076   	3.377e-05   
90          	10          	0.06022     	2.911e-05   	6.281e-05   	2.92e-05    
95          	10          	0.04051     	4.257e-05   	8.554e-05   	4.293e-05   
100         	10          	0.02        	3.363e-05   	3.443e-05   	1.561e-05   
105         	10          	0.04895     	5.221e-05   	7.392e-05   	9.537e-06   
110         	10          	0.04612     	5.73e-05    	0.0001236   	4.994e-05   
115         	10          	0.01629     	5.438e-05   	0.0001155   	8.406e-05   
120         	10          	0.02858     	2.359e-05   	0.000129    	2.549e-05   
125         	10          	0.0329      	1.787e-05   	8.173e-05   	3.2e-05     
130         	10          	0.02478     	6.525e-05   	9.238e-05   	4.738e-05   
135         	10          	0.05089     	3.303e-05   	3.004e-05   	4.672e-05   
140         	10          	0.08833     	4.051e-05   	8.436e-05   	3.994e-05   
145         	10          	0.06408     	4.903e-05   	7.748e-05   	0.0001144   
150         	10          	0.0734      	5.849e-05   	4.777e-05   	7.457e-05   
155         	10          	0.0536      	9.258e-05   	6.877e-05   	3.602e-05   
160         	10          	0.04929     	3.978e-05   	0.0001365   	0.0001695   
165         	10          	0.0559      	4.118e-05   	4.494e-05   	3.282e-05   
170         	10          	0.06554     	6.212e-05   	0.0001249   	7.551e-05   
175         	10          	0.09173     	7.137e-05   	0.0001762   	7.962e-05   
180         	10          	0.05938     	4.45e-05    	0.0001464   	5.518e-05   
185         	10          	0.05628     	1.157e-05   	0.0001369   	2.055e-05   
190         	10          	0.03467     	4.08e-05    	5.642e-05   	3.55e-05    
195         	10          	0.1001      	5.633e-05   	7.514e-05   	8.123e-05   
200         	10          	0.06875     	6.708e-05   	9.653e-05   	6.21e-05    
205         	10          	0.07618     	6.45e-05    	0.0001293   	0.000114    
210         	10          	0.07947     	2.613e-05   	4.989e-05   	5.377e-05   
215         	10          	0.06483     	3.164e-05   	7.75e-05    	5.155e-05   
220         	10          	0.07989     	3.711e-05   	0.0001429   	5.987e-05   
225         	10          	0.07497     	6.653e-05   	0.0002118   	8.402e-05   
230         	10          	0.06338     	3.808e-05   	0.0001401   	0.000114    
235         	10          	0.08318     	0.0001003   	0.0001191   	5.588e-05   
240         	10          	0.09084     	3.297e-05   	0.0001856   	9.702e-05   
245         	10          	0.1124      	1.886e-05   	0.0001215   	5.559e-05   
250         	10          	0.09118     	0.0001089   	0.0001147   	5.393e-05   
255         	10          	0.1191      	0.0001227   	0.000172    	2.507e-05   
260         	10          	0.1311      	7.76e-05    	0.000108    	2.166e-05   
265         	10          	0.122       	2.894e-05   	8.156e-05   	3.193e-05   
270         	10          	0.09956     	4.105e-05   	9.868e-05   	0.0001439   
275         	10          	0.051       	8.064e-05   	0.0002842   	8.575e-05   
280         	10          	0.05362     	2.719e-05   	8.276e-05   	5.243e-05   
285         	10          	0.05546     	3.775e-05   	0.0001775   	6.367e-05   
290         	10          	0.07064     	8.243e-05   	0.0002845   	0.0001119   
295         	10          	0.08184     	7.219e-05   	0.0004427   	5.668e-05   
300         	10          	0.08245     	4.631e-05   	0.0002782   	7.765e-05   
305         	10          	0.07089     	4.849e-05   	0.0002383   	5.252e-05   
310         	10          	0.04357     	4.835e-05   	0.0001235   	0.0001212   
315         	10          	0.04468     	0.0001085   	0.0001824   	3.356e-05   
320         	10          	0.03489     	6.897e-05   	9.986e-05   	8.324e-05   
325         	10          	0.0376      	5.27e-05    	0.0001035   	6.596e-05   
330         	10          	0.07141     	0.0001057   	0.0001548   	3.11e-05    
335         	10          	0.06041     	6.886e-05   	0.0002609   	8.612e-05   
340         	10          	0.05527     	4.198e-05   	0.0001124   	6.731e-05   
345         	10          	0.09175     	0.0001003   	0.0003204   	8.527e-05   
350         	10          	0.08421     	6.324e-05   	0.00017     	4.08e-05    
355         	10          	0.06484     	5.651e-05   	0.0001386   	5.587e-05   
360         	10          	0.0654      	0.0001446   	0.0001347   	7.125e-05   
365         	10          	0.093       	9.876e-05   	0.0001943   	8.786e-05   
370         	10          	0.08393     	0.0001713   	0.0001669   	0.0001154   
375         	10          	0.06796     	8.645e-05   	5.065e-05   	5.536e-05   
380         	10          	0.08138     	5.231e-05   	0.0002456   	7.814e-05   
385         	10          	0.09061     	4.773e-05   	0.0002596   	8.802e-05   
390         	10          	0.07678     	2.32e-05    	9.125e-05   	0.0001064   
395         	10          	0.08291     	2.483e-05   	4.985e-05   	0.000163    
400         	10          	0.07584     	8.106e-05   	0.0001482   	6.561e-05   
405         	10          	0.07273     	6.641e-05   	5.594e-05   	4.449e-05   
410         	10          	0.06727     	5.385e-05   	0.0001641   	0.0001158   
415         	10          	0.06728     	3.34e-05    	0.0001364   	9.303e-05   
420         	10          	0.09511     	4.859e-05   	6.365e-05   	4.717e-05   
425         	10          	0.09014     	8.943e-05   	0.0002608   	0.0001013   
430         	10          	0.0709      	4.855e-05   	0.0001765   	4.752e-05   
435         	10          	0.06311     	4.958e-05   	6.638e-05   	8.881e-05   
440         	10          	0.05629     	7.325e-05   	5.256e-05   	6.445e-05   
445         	10          	0.07679     	7.347e-05   	0.00012     	4.578e-05   
450         	10          	0.08179     	0.0002088   	0.0002764   	9.604e-05   
455         	10          	0.06791     	4.202e-05   	7.819e-05   	6.642e-05   
460         	10          	0.06856     	6.072e-05   	7.141e-05   	0.000129    
465         	10          	0.05256     	8.113e-05   	0.0001613   	4.092e-05   
470         	10          	0.03883     	0.0001069   	0.0004832   	5.214e-05   
475         	10          	0.05579     	7.836e-05   	0.0001932   	9.246e-05   
480         	10          	0.06604     	7.26e-05    	0.0003061   	0.0001067   
485         	10          	0.0764      	5.335e-05   	0.0002105   	5.477e-05   
490         	10          	0.09328     	4.875e-05   	0.0003055   	8.201e-05   
495         	10          	0.08053     	0.0001071   	0.0001487   	7.543e-05   
500         	10          	0.07314     	7.683e-05   	0.0001133   	9.227e-05   
505         	10          	0.09257     	5.03e-05    	8.588e-05   	4.48e-05    
510         	10          	0.09518     	0.0001281   	0.0001176   	4.554e-05   
515         	10          	0.1092      	7.947e-05   	0.0001225   	4.517e-05   
520         	10          	0.1215      	9.949e-05   	0.0003005   	6.561e-05   
525         	10          	0.1313      	4.783e-05   	0.0001789   	8.322e-05   
530         	10          	0.09684     	0.0001073   	0.0005684   	7.921e-05   
535         	10          	0.0888      	6.97e-05    	0.0001969   	0.000362    
540         	10          	0.08266     	4.833e-05   	0.0002639   	7.817e-05   
545         	10          	0.1004      	6.184e-05   	0.0001588   	0.0001283   
550         	10          	0.06471     	9.336e-05   	0.0002245   	8.705e-05   
555         	10          	0.07332     	6.014e-05   	0.0002432   	0.0001762   
560         	10          	0.0733      	2.152e-05   	0.0001444   	3.035e-05   
565         	10          	0.07763     	9.328e-05   	0.0001265   	8.672e-05   
570         	10          	0.04501     	6.105e-05   	0.0002866   	0.000129    
575         	10          	0.03416     	4.865e-05   	0.000344    	0.0001448   
580         	10          	0.04886     	0.0001125   	0.0002024   	0.000177    
585         	10          	0.03916     	6.232e-05   	0.0002126   	0.0001964   
590         	10          	0.04716     	7.212e-05   	8.797e-05   	3.93e-05    
595         	10          	0.06394     	1.9e-05     	7.055e-05   	4.68e-05    
600         	10          	0.05991     	5.465e-05   	0.00016     	7.417e-05   
605         	10          	0.04993     	5.836e-05   	7.512e-05   	6.218e-05   
610         	10          	0.05889     	4.709e-05   	0.0001939   	0.0001612   
615         	10          	0.05099     	3.614e-05   	0.0002071   	0.0001126   
620         	10          	0.1042      	0.0001583   	0.0005631   	6.202e-05   
625         	10          	0.1175      	7.721e-05   	3.833e-05   	2.788e-05   
630         	10          	0.1046      	0.000145    	0.000219    	5.091e-05   
635         	10          	0.06723     	0.0002075   	0.0003416   	0.0001508   
640         	10          	0.05484     	5.929e-05   	0.0002859   	5.053e-05   
645         	10          	0.05961     	0.0001774   	0.0003241   	0.0001147   
650         	10          	0.05519     	7.837e-05   	0.0003403   	0.0001054   
655         	10          	0.03214     	0.0001153   	0.00025     	7.52e-05    
660         	10          	0.01779     	0.0002257   	0.0003809   	6.888e-05   
665         	10          	0.03956     	0.0001385   	0.0001388   	0.0001151   
670         	10          	0.02258     	8.099e-05   	0.0002256   	8.388e-05   
675         	10          	0.04138     	4.789e-05   	0.0001382   	0.0001082   
680         	10          	0.03318     	0.0001025   	0.0002797   	5.59e-05    
685         	10          	0.0461      	6.428e-05   	8.715e-05   	4.288e-05   
690         	10          	0.04221     	0.0002285   	0.0002701   	8.359e-05   
695         	10          	0.05308     	9.531e-05   	0.0002297   	0.0001601   
700         	10          	0.04925     	0.0002443   	0.0001116   	0.0001287   
705         	10          	0.0354      	6.334e-05   	0.0001689   	0.000137    
710         	10          	0.06874     	5.553e-05   	0.0002205   	9.778e-05   
715         	10          	0.04412     	0.0001657   	0.0001899   	0.0001714   
720         	10          	0.05038     	0.000129    	0.0001758   	4.95e-05    
725         	10          	0.04719     	0.0002195   	0.0001374   	6.017e-05   
730         	10          	0.05875     	0.0002004   	0.0001699   	9.709e-05   
735         	10          	0.04633     	0.0001234   	0.0003143   	8.907e-05   
740         	10          	0.05344     	0.0001039   	0.0002861   	0.0001497   
745         	10          	0.03928     	0.0001489   	0.0002893   	7.737e-05   
750         	10          	0.05463     	0.0002393   	0.0002308   	8.057e-05   
755         	10          	0.04597     	0.0001542   	0.0002095   	0.0001046   
